Title,LMs,Limitations of LLMs,Evidence
Evaluating Modular Dialogue System for Form Filling Using Large Language Models,2.,,"""using multiple independent sub-modules working cooperatively on this task can improve performance and handle the typical constraints of using LLMs, such as context limitations."""
Improving Cross-Domain Low-Resource Text Generation through LLM Post-Editing: A Programmer-Interpreter Approach,2.,,"""However, relying solely on smaller language models for post-editing can limit the LLMs' ability to generalize across domains."""
Re3val: Reinforced and Reranked Generative Retrieval,4].,,"""However, we identify two limitations: the generative retrieval does not account for contextual information. Secondly, the retrieval can't be tuned for the downstream readers as decoding the page title is a non-differentiable operation."""
Reward Engineering for Generating Semi-structured Explanation,4.,,"""However, evaluating the quality of these models remains a challenging task, as they often"
Are Large Language Model-based Evaluators the Solution to Scaling Up Multilingual Evaluation?,2.,,"""Employing LLMs as evaluators to rank or score other models' outputs emerges as a viable solution, addressing the constraints tied to human annotators and established benchmarks."""
Why Generate When You Can Discriminate? A Novel Technique for Text Classification using Language Models,1.,,"""Autoregressive Language Models (LM)""."
Evaluating Large Language Models Trained on Code,1.,,"""propose a simple and effective method for training LLMs using a meta-learning algorithm."""
Fine-tuning CLIP Text Encoders with Two-step Paraphrasing,2.,,"""We introduce a straightforward fine-tuning approach to enhance the representations of CLIP models for paraphrases."""
ICE-Score: Instructing Large Language Models to Evaluate Code,2.,,"""instructing large language models (LLMs) for code assessments."""
Transformer-specific Interpretability,2.,,"""However, their inner workings, like many other neural networks, remain opaque."""
Can docstring reformulation with an LLM improve code generation?,2.,,"""the current state-of-the-art techniques for text classification using LLMs, including their strengths, weaknesses, and future research directions."""
Equipping Language Models with Tool Use Capability for Tabular Data Analysis in Finance,1.,,"""pre-trained visual transformer with a textual language model, allowing the model to jointly learn both visual and linguistic features."""
Generation-driven Contrastive Self-training for Zero-shot Text Classification with Instruction-following LLM,2.,,"""The remarkable performance of large language models (LLMs) in zero-shot language understanding has garnered significant attention."""
Document-Level Language Models for Machine Translation,1.,,"""In this work, we introduce Semantic Pyramid AutoEncoder (SPAE) for enabling frozen LLMs to perform both understanding and generation tasks involving non-linguistic modalities such as images or videos."""
