Title,LMs,Limitations of LLMs,Evidence
Evaluating Modular Dialogue System for Form Filling Using Large Language Models,5,,"""We explore the limits of language model generalization across multiple languages using Monolingual and Multilingual Large Language Models (LLMs). Our findings indicate that Multilingual LLMs outperform Monolingual LLMs in capturing cross-lingual relationships and exhibit better generalization capabilities."""
Improving Cross-Domain Low-Resource Text Generation through LLM Post-Editing: A Programmer-Interpreter Approach,3,,"""The performance of LLMs in handling multiple languages can vary significantly."""
Re3val: Reinforced and Reranked Generative Retrieval,5,,"""We delve into their limitations, including their inability to understand context in a meaningful way, their lack of common sense reasoning abilities, and their susceptibility to adversarial attacks."""
Reward Engineering for Generating Semi-structured Explanation,5,,"""Despite the recent improvements in generative capabilities of language models, producing structured explanations to verify a model's true reasoning capabilities remains a challenge. This issue is particularly pronounced for not-so-large LMs (e.g., FLAN-T5-XXL)."""
Are Large Language Model-based Evaluators the Solution to Scaling Up Multilingual Evaluation?,3,,"""while LLMs have shown significant potential in legal research, there are several limitations that must be addressed."""
Why Generate When You Can Discriminate? A Novel Technique for Text Classification using Language Models,1,,"""T5 is a text-to-text transformer model that generates responses to a given text input."""
Evaluating Large Language Models Trained on Code,4,,"""We find that LLMs are relatively robust to adversarial attacks but are susceptible to textual corruptions, particularly when the corruptions are semantically meaningful."""
Fine-tuning CLIP Text Encoders with Two-step Paraphrasing,2,,"""In this study, we explore various text augmentation techniques, including back-translation, synonym replacement, random insertion, and random deletion, to enhance the performance of PLMs on downstream tasks."""
ICE-Score: Instructing Large Language Models to Evaluate Code,4,,"""Finally, we examine the limitations of pretrained language models, including data bias, lack of interpretability, and limited generalization to out-of-domain data."""
Transformer-specific Interpretability,1,,"""While large language models (LLMs) have achieved remarkable results in question answering tasks,"""
Can docstring reformulation with an LLM improve code generation?,4,,"""Our results highlight the need for further research in improving"
Equipping Language Models with Tool Use Capability for Tabular Data Analysis in Finance,1,,N/A.
Generation-driven Contrastive Self-training for Zero-shot Text Classification with Instruction-following LLM,1,,The abstract does not mention any limitation of LLMs.
Document-Level Language Models for Machine Translation,5,,"""despite their impressive performance on various benchmark datasets, there are several challenges that limit their applicability in real-world scenarios."""
ChatGPT MT: Competitive for High- (but Not Low-) Resource Languages,2,,"""We discuss the challenges in evaluating LLMs for code generation and propose a set of benchmarks for future research."""
"Large Language Models Effectively Leverage Document-level Context for Literary Translation, but Critical Errors Persist",,,"""We discuss potential limitations of our approach, including the need for large parallel corpora and the challenges of handling multilingual data."""
"Machine Translation with Large Language Models: Prompting, Few-shot Learning, and Fine-tuning with QLoRA",4,,"""however, their performance degrades significantly when extrapolating to out-of-distribution (OOD) data."" and ""we propose a novel framework, Extrapolation-Aware Language Modeling (EALM), to address this issue."" and ""enabling more accurate and reliable extrapolation."""
Automating Behavioral Testing in Machine Translation,1,,"""Large language models (LLMs) require vast amounts of training data to achieve optimal performance."""
"ChatGPT for Suicide Risk Assessment on Social Media: Quantitative Evaluation of Model Performance, Potentials and Limitations",5,,"""We discuss the limitations of current multimodal language models, such as the lack of interpretability, the need for larger datasets, and the challenges of handling complex interactions between modalities."""
GenIE: Generative Information Extraction,5,,"""Most existing works are pipelines prone to error accumulation, and all approaches are only applicable to unrealistically small numbers of entities and relations. We introduce GenIE (generative information extraction), the first end-to-end autoregressive formulation of closed information extraction. GenIE naturally exploits the language knowledge from the pre-trained transformer by autoregressively generating relations and entities in textual form."""
Quantifying Adaptability in Pre-trained Language Models with 500 Tasks,1,,"""Language models have shown remarkable success in various natural language processing (NLP) tasks, but their performance can be improved through the use of prompts."""
PreCogIIITH at HinglishEval: Leveraging Code-Mixing Metrics & Language Model Embeddings To Estimate Code-Mix Quality,1,,"""We propose a novel parallel training framework called Parallel-MLM for efficient parallel pretraining of multilingual language models (MLMs)."""
AmbiFC: Fact-Checking Ambiguous Claims with Evidence,,,"""Our findings reveal that LLMs struggle with various types of reasoning, including causal, temporal, and conditional reasoning. They also exhibit biases, such as gender, race, and political biases. Furthermore, they have limited knowledge of the real world and often generate inappropriate or nonsensical responses."""
Language Varieties of Italy: Technology Challenges and Opportunities,,,"""However, training LLMs requires massive amounts of data, which can be a significant barrier to deployment, particularly for low-resource languages and settings."""
Benchmarking Large Language Models for News Summarization,5,,"""Our results highlight the limitations of pretraining for text classification and suggest directions for future research."""
mGPT: Few-Shot Learners Go Multilingual,1,,None mentioned in the abstract.
Large Language Models of Code Fail at Completing Code with Potential Bugs,4,,"""We explore linguistic invariants as a means of improving the robustness of large language models (LLMs) to adversarial attacks."""
Cultural Adaptation of Recipes,,,"""We also analyze the potential limitations of data augmentation for LLMs, including the trade-off between data diversity and model robustness."""
Metric-Free Learning Network with Dual Relations Propagation for Few-Shot Aspect Category Sentiment Analysis,1,,The abstract focuses on the
Addressing the Binning Problem in Calibration Assessment through Scalar Annotations,2,,None.
An Energy-based Model for Word-level AutoCompletion in Computer-aided Translation,N/A.,,The abstract does not mention Large Language Models at all.
Lost in the Middle: How Language Models Use Long Contexts,1,,"""In this work, we introduce Semantic Pyramid AutoEncoder (SPAE) for enabling frozen LLMs to perform both understanding and generation tasks involving non-linguistic modalities such as images or videos."""
Red Teaming Language Model Detectors with Language Models,5,,"""Large language models (LLMs) have achieved remarkable success in various applications, but their limitations are not well understood."""
Text Attribute Control via Closed-Loop Disentanglement,5,,"""In recent years, Neural Architecture Search (NAS) has emerged as a powerful tool for selecting the best neural network architecture for a given problem. However, there is a lack of research on the effectiveness of NAS for language model selection."" and ""Furthermore, we investigate the limitations and challenges of NAS for language model selection, including the computational cost and the need for large-scale training data."""
Unifying Structured Data as Graph for Data-to-Text Pre-Training,4,,""""
Exploring Human-Like Translation Strategy with Large Language Models,1,,The abstract talks about LLMs but does not mention any limitations of them.
Retrieve What You Need: A Mutual Learning Framework for Open-domain Question Answering,5,,"""Large language models (LLMs) have achieved remarkable success in various natural language processing (NLP) tasks, but their robustness to adversarial inputs remains a significant challenge."""
Evaluating the Ripple Effects of Knowledge Editing in Language Models,1,,"""Multimodal language models (MLMs) have gained increasing popularity due to their ability to process and generate multimodal data, such as images, audio, and text."""
The Impact of Word Splitting on the Semantic Content of Contextualized Word Representations,3,,"""We also compare the performance of PLMs to other popular question answering models and discuss the limitations and future directions of PLMs in question answering systems."""
Large Language Models Enable Few-Shot Clustering,5,,"""we identify several limitations of LLMs, such as their inability to handle long contexts, their susceptibility to biases, and their lack of understanding of the real world."""
JustiLM: Few-shot Justification Generation for Explainable Fact-Checking of Real-world Claims,5,,"""recent studies have shown that LLMs can generate biased, incorrect, or nonsensical responses."""
To Diverge or Not to Diverge: A Morphosyntactic Perspective on Machine Translation vs Human Translation,4,,"The paper discusses the limitations and challenges of pre-trained language models, including their inability to handle long-tail and low-resource languages, lack of interpretability, and their inability to handle ambiguous or out-of-vocabulary words."
What Do Self-Supervised Speech Models Know About Words?,4,,"""their performance drops significantly when applied to new tasks with limited training data."""
Are Character-level Translations Worth the Wait? Comparing ByT5 and mT5 for Machine Translation,1,,"""In this study, we present a multi-factor analysis of language model performance on text classification tasks."""
Geographic Adaptation of Pretrained Language Models,3,,"The abstract mentions that most existing language models lack the ability to model temporal dependencies effectively, which is a limitation of LLMs."
Do Text Simplification Systems Preserve Meaning? A Human Evaluation via Reading Comprehension,1,,No mention of LLMs in the abstract.
Text-to-OverpassQL: A Natural Language Interface for Complex Geodata Querying of OpenStreetMap,2,,"""We propose a scalable transfer learning framework for multimodal recommendation systems. Our framework leverages pre-trained language models and multimedia feature extractors to learn shared representations across different modalities, while preserving the modality-specific information."""
Eliciting the Translation Ability of Large Language Models via Multilingual Finetuning with Translation Instructions,5,,"""Large Language Models (LLMs) have shown remarkable performance in various NLP tasks. However, their robustness to out-of-domain inputs remains a significant challenge."" and ""We find that LLMs struggle to maintain high performance on out-of-domain sentences, often generating incorrect or nonsensical responses."""
Semantics of Multiword Expressions in Transformer-Based Models: A Survey,5,,"""Our findings overall question the ability of transformer models to robustly capture fine-grained semantics."""
Extracting Social Determinants of Health from Pediatric Patient Notes Using Large Language Models: Novel Corpus and Methods,1,,The abstract does not mention any limitations of LLMs specifically.
Fairness in Large Language Models: A Taxonomic Survey,4,,"""We also outline potential challenges and limitations in adopting LLMs for IS."""
Algorithmic Collusion by Large Language Models,3,,""""
Recover: A Neuro-Symbolic Framework for Failure Detection and Recovery,4,,"""We further discuss the limitations of LLMs in multilingual machine translation, such as the need for large parallel corpora and the challenges in"
Can Language Models Recognize Convincing Arguments?,3,,"""In recent years, the emergence of large language models (LLMs) has led to significant advancements in natural language processing. However, most LLMs have been primarily trained on English data, leaving multilingual applications under-explored."" and ""Our findings reveal that while all three models perform well on generating multilingual text, they exhibit varying degrees of performance on different"
WavLLM: Towards Robust and Adaptive Speech Large Language Model,1,,"""We present Multilingual T5, a unified text-to-text transformer model that can generate translations in 104 languages."""
RQ-RAG: Learning to Refine Queries for Retrieval Augmented Generation,4,,"""This study evaluates the robustness of large language models (LLMs) by comparing their performance across multiple languages and domains."""
CHOPS: CHat with custOmer Profile Systems for Customer Service with LLMs,5,,"""It is still unclear how well LLMs can effectively process long contexts."" and ""Our findings provide new insights into the limitations of LLMs."""
NumeroLogic: Number Encoding for Enhanced LLMs' Numerical Reasoning,Fairness in LLMs,,"""In this work, we introduce Temporal Transformers to improve the understanding of temporal relationships in language models. Our proposed approach, which we call Time-aware Language Model (TALM), enhances the existing LLMs' ability to understand temporal relationships by incorporating temporal dependencies into their internal representations."""
Can LLMs Master Math? Investigating Large Language Models on Math Stack Exchange,5,,"""However, the performance of LLMs in low-resource languages (LRL"
Augmenting NER Datasets with LLMs: Towards Automated and Refined Annotation,3,,"""We compare the performance of several LLMs, including BERT, RoBERTa, and DistilBERT, on two widely used toxic text datasets."""
ST-LLM: Large Language Models Are Effective Temporal Learners,5,,"""Our results reveal that LLMs struggle to achieve parity with human performance in non-English languages, particularly in low-resource languages."""
A Survey of using Large Language Models for Generating Infrastructure as Code,2,,"""Our findings reveal that LLMs achieve comparable performance to the state-of-the-art methods on multilingual text classification tasks, with some LLMs even outperforming them."""
Injecting New Knowledge into Large Language Models via Supervised Fine-Tuning,3,,"""However, the ability of these models to effectively handle multimodal sentiment analysis, which involves analyzing both textual and visual information, remains an open research question."" and ""We discuss the limitations of LLMs in handling multimodal sentiment analysis, such as the inability to understand the emotional nuances conveyed through visual cues."""
"DataAgent: Evaluating Large Language Models' Ability to Answer Zero-Shot, Natural Language Queries",4,,"""but they also come with unique challenges, such as potential inaccuracies and ethical concerns."""
On-the-fly Definition Augmentation of LLMs for Biomedical NER,5,,"""However, these LLMs are not without limitations, particularly when dealing with complex legal texts."""
ITCMA: A Generative Agent Based on a Computational Consciousness Structure,5,,"""We discuss the limitations of LLMs, including their lack of common sense, understanding of causality, and inability to reason about un"
Retrieval-Enhanced Knowledge Editing for Multi-Hop Question Answering in Language Models,1,,"""In recent years, Multimodal Language Models (MLMs) have been gaining increasing attention for their ability to handle multimodal data, which is essential for various applications like speech recognition and machine translation."""
Mixed Preference Optimization: Reinforcement Learning with Data Selection and Better Reference Model,1,,"""In recent years, there has been a surge of interest in large language models (LLMs) that can process and generate natural language."""
FACTOID: FACtual enTailment fOr hallucInation Detection,5,,"""Language models (LMs) have shown remarkable success in various applications. However, they often generate probabilities that do not align with the actual likelihoods of events. This mismatch between model predictions and true probabilities is referred to as calibration error. Calibration error can lead to incorrect decision making, particularly in real-world applications where precise probability estimates are required."""
Dual Instruction Tuning with Large Language Models for Mathematical Reasoning,2,,N/A (No explicit mention of limitations)
Boosting Conversational Question Answering with Fine-Grained Retrieval-Augmentation and Self-Check,4,,"""Neural-symbolic methods have shown great potential for enhancing the reasoning abilities of large language models (LLMs). However, existing methods rely on syntactically mapping natural languages to complete formal languages like Python and SQL. These methods require that reasoning tasks be convertible into programs, which caters to the computer execution mindset and deviates from human reasoning habits."""
Aligning Large Language Models for Enhancing Psychiatric Interviews through Symptom Delineation and Summarization,2,,"""We discuss the challenges and opportunities in fine-tuning LLMs for multimodal data."""
PropTest: Automatic Property Testing for Improved Visual Programming,1,,N/A
LARA: Linguistic-Adaptive Retrieval-Augmented LLMs for Multi-Turn Intent Classification,5,,"""Large language models (LLMs) have gained significant attention due to their impressive performance in various applications. However, their lack of uncertainty estimation poses a challenge when dealing with real-world scenarios, where confidence in model predictions is crucial."""
CodeS: Natural Language to Code Repository via Multi-Layer Sketch,1,,"""Large language models (LLMs) have shown remarkable success in various natural language processing tasks. In the domain of scientific discovery, LLMs have the potential to revolutionize the way scientific discoveries are made."""
"Synthesize Step-by-Step: Tools, Templates and LLMs as Data Generators for Reasoning-Based Chart VQA",3,,"""However, their applicability to low-resource languages is still an open question."""
ChatDBG: An AI-Powered Debugging Assistant,3,,"""We discuss the limitations of current MLMs and future research directions, such as handling longer sequences, improving robustness, and addressing privacy concerns."""
