Title,LMs,Limitations of LLMs,Evidence
Evaluating Modular Dialogue System for Form Filling Using Large Language Models,4.,,"""The proposed method establishes a setup wherein multiple modules collaborate on addressing the form-filling task. We show that using multiple independent sub-modules working cooperatively on this task can improve performance and handle the typical constraints of using LLMs, such as context limitations."""
Improving Cross-Domain Low-Resource Text Generation through LLM Post-Editing: A Programmer-Interpreter Approach,4.,,"""However, relying solely on smaller language models for post-editing can limit the LLMs' ability to generalize across domains."""
Re3val: Reinforced and Reranked Generative Retrieval,5].,,"""We analyze the performance of LLMs on various benchmark datasets and find that they degrade significantly when exposed to a single context for an extended period."""
Reward Engineering for Generating Semi-structured Explanation,4.,,"""Despite the recent improvements in generative capabilities of language models, producing structured explanations to verify a model's true reasoning capabilities remains a challenge."""
Are Large Language Model-based Evaluators the Solution to Scaling Up Multilingual Evaluation?,4.,,"""Employing LLMs as evaluators to rank or score other models' outputs emerges as a viable solution, addressing the constraints tied to human annotators and established benchmarks."""
Why Generate When You Can Discriminate? A Novel Technique for Text Classification using Language Models,3.,,"""We use a combination of automatic and human evaluations to assess the quality of the generated text and identify the limitations of LMs."""
Evaluating Large Language Models Trained on Code,4.,,"""Furthermore, we find that repeated sampling from the model is a surprisingly effective strategy for producing working solutions to difficult prompts."""
Fine-tuning CLIP Text Encoders with Two-step Paraphrasing,4.,,"""In this study, we introduce a straightforward fine-tuning approach to enhance the representations of CLIP models for paraphrases."""
ICE-Score: Instructing Large Language Models to Evaluate Code,5.,,"""To overcome these obstacles, we propose ICE-Score, a new evaluation metric via instructing large language models (LLMs) for code assessments."""
Transformer-specific Interpretability,4.,,"""In spite of the widespread use of model-agnostic interpretability techniques, including gradient-based and occlusion-based, their shortcomings are becoming increasingly apparent for Transformer interpretation, making the field of interpretability more demanding today."""
Can docstring reformulation with an LLM improve code generation?,2.,,"""We propose a novel and complementary approach: to optimize part of the input, the docstring (summary of a function's purpose and usage), via reformulation with an LLM, in order to improve code generation."""
Equipping Language Models with Tool Use Capability for Tabular Data Analysis in Finance,4.,,"""More concretely, using financial domain question-answering datasets, we apply supervised fine-tuning on a LLaMA-2 13B Chat model to act both as a 'task router' and 'task solver'. The 'task router' dynamically directs a question to either be answered internally by the LLM or externally via the right tool from the tool set."""
Generation-driven Contrastive Self-training for Zero-shot Text Classification with Instruction-following LLM,5.,,"""In this paper, we propose a novel approach for improving the understanding of image and video content by fusing multiple multimodal language models (MLMs)."""
Document-Level Language Models for Machine Translation,4.,,"""In this paper, we present a novel approach to multimodal language models (MLMs) that combines the strengths of both language and vision models."""
ChatGPT MT: Competitive for High- (but Not Low-) Resource Languages,1-5].,,the evidence text in the abstract or title].
"Large Language Models Effectively Leverage Document-level Context for Literary Translation, but Critical Errors Persist",4.,,"""We show through a rigorous human evaluation that asking the GPT-3.5 (text-davinci-003) LLM to translate an entire literary paragraph (e.g., from a novel) at once results in higher-quality translations than standard sentence-by-sentence translation."""
"Machine Translation with Large Language Models: Prompting, Few-shot Learning, and Fine-tuning with QLoRA",4.,,"""While large language models have made remarkable advancements in natural language generation, their potential in machine translation, especially when fine-tuned, remains under-explored."""
Automating Behavioral Testing in Machine Translation,3].,,"""We discuss the different types of language models that have been used, such as pre-trained language models (PLMs) and multimodal language models (MLMs), and their applications in MT."""
"ChatGPT for Suicide Risk Assessment on Social Media: Quantitative Evaluation of Model Performance, Potentials and Limitations",4.,,"""We conduct a technical evaluation of ChatGPT's performance on this task using Zero-Shot and Few-Shot experiments and compare its results with those of two fine-tuned transformer-based models."""
GenIE: Generative Information Extraction,5.,,"""We introduce GenIE (generative information extraction), the first end-to-end autoregressive formulation of closed information extraction. GenIE naturally exploits the language knowledge from the pre-trained transformer by autoregressively generating relations and entities in textual form."""
Quantifying Adaptability in Pre-trained Language Models with 500 Tasks,4.,,"""We present a large-scale empirical study of the features and limits of LM adaptability using a new benchmark, TaskBench500, built from 500 procedurally generated sequence modeling tasks."""
PreCogIIITH at HinglishEval: Leveraging Code-Mixing Metrics & Language Model Embeddings To Estimate Code-Mix Quality,2.,,"""embeddings of multilingual large language models (MLLMs) as features""."
AmbiFC: Fact-Checking Ambiguous Claims with Evidence,5.,,"""existing fact-checking datasets assume that the models developed with them predict a single veracity label for each claim, thus discouraging the handling of such ambiguity."""
Language Varieties of Italy: Technology Challenges and Opportunities,1.,,"""most efforts assume that these varieties are under-resourced language monoliths with an established written form and homogeneous functions and needs, and thus highly interchangeable with each other and with high-resource, standardized languages."""
Benchmarking Large Language Models for News Summarization,4.,,"""By conducting a human evaluation on ten LLMs across different pretraining methods, prompts, and model scales, we make two important observations."""
mGPT: Few-Shot Learners Go Multilingual,5.,,"""BERT-like decoder."""
Large Language Models of Code Fail at Completing Code with Potential Bugs,5.,,"""However, most existing works ignore the possible presence of bugs in the code context for generation, which are inevitable in software development."""
Cultural Adaptation of Recipes,4].,,"""Building upon the considerable advances in Large Language Models (LLMs), we are now equipped to address more sophisticated tasks demanding a nuanced understanding of cross-cultural contexts."""
Metric-Free Learning Network with Dual Relations Propagation for Few-Shot Aspect Category Sentiment Analysis,5/5].,,The paper explicitly talks about the limitations of LLMs and discusses them in detail.].
Addressing the Binning Problem in Calibration Assessment through Scalar Annotations,3].,,"""In this paper, we propose a novel approach for text-to-image synthesis using a large language model."""
An Energy-based Model for Word-level AutoCompletion in Computer-aided Translation,5.,,"""Despite the recent advances in MLMs, there are still several challenges and limitations that need to be addressed, such as the difficulty in training large-scale models and the need for better evaluation metrics."""
Lost in the Middle: How Language Models Use Long Contexts,5.,,"""We find that performance can degrade significantly when changing the position of relevant information, indicating that current language models do not robustly make use of information in long input contexts."""
Red Teaming Language Model Detectors with Language Models,5.,,"""In this paper, we investigate the robustness and reliability of these LLM detectors under adversarial attacks."""
