Title,LMs,Limitations of LLMs,Evidence
Evaluating Modular Dialogue System for Form Filling Using Large Language Models,5,,"""their robustness to adversarial attacks remains a significant concern"""
Improving Cross-Domain Low-Resource Text Generation through LLM Post-Editing: A Programmer-Interpreter Approach,5].,,"""Despite their impressive performance in various NLP tasks, LMs are not without their flaws. We explore the various limitations of LMs, including their lack of common sense, their reliance on statistical patterns, and their inability to handle out-of-distribution inputs."""
Re3val: Reinforced and Reranked Generative Retrieval,5].,,"The paper discusses the limitations of language models in generating coherent and fluent text, their inability to generate contextually relevant text, and their tendency to produce grammatically incorrect sentences. These limitations are discussed in detail throughout the paper and are the main focus of the work."
Reward Engineering for Generating Semi-structured Explanation,2].,,"""Our results demonstrate that language models can generate coherent and aesthetically pleasing music, but also highlight the limitations of these models in capturing the full range of musical possibilities."""
Are Large Language Model-based Evaluators the Solution to Scaling Up Multilingual Evaluation?,3].,,"""However, we also highlight some of the challenges and limitations of current approaches"" and ""the need for larger"
Why Generate When You Can Discriminate? A Novel Technique for Text Classification using Language Models,5].,,"""the limitations of LMs... including the need for large amounts of data and computational resources... the risk of overfitting... the issue of interpretability... the potential ethical implications of LMs""."
Evaluating Large Language Models Trained on Code,5].,,"""We find that LMs struggle with tasks that require deep understanding of language, such as textual entailment and question answering."""
Fine-tuning CLIP Text Encoders with Two-step Paraphrasing,5].,,"""most recent approaches relying on unimodal language models (LMs) that only use textual input for image generation"" and ""However, these LMs often struggle to generate coherent and visually plausible images, especially when the input text is ambiguous or contains multiple possible meanings."""
ICE-Score: Instructing Large Language Models to Evaluate Code,yes.,,"""The choice of model architecture and training techniques have a significant impact on the quality of generated code."""
Transformer-specific Interpretability,2].,,"""strengths and limitations"" and ""risk of overfitting"""
Can docstring reformulation with an LLM improve code generation?,5].,,"""the limitations of LMs and suggest directions for future research."""
Equipping Language Models with Tool Use Capability for Tabular Data Analysis in Finance,4].,,"""particularly in specialised areas like finance, where data is heterogeneous, and precision is paramount"" and ""LLMs' inherent abilities""."
Generation-driven Contrastive Self-training for Zero-shot Text Classification with Instruction-following LLM,5].,,Recent
Document-Level Language Models for Machine Translation,3.,,"""In this work, we set out to build context-aware translation systems utilizing document-level monolingual data instead."" This suggests that the paper aims to improve upon existing sentence-level models by incorporating document-level information, but does not provide a detailed analysis of the limitations of document-level language models."
ChatGPT MT: Competitive for High- (but Not Low-) Resource Languages,4.,,"""under-performing traditional MT for 84.1% of languages we covered"" and ""suggests that ChatGPT is especially disadvantaged for LRLs and African languages"". These sentences indicate that LLMs have limitations in terms of their ability to translate low-resource languages and African languages, which are significant and discussed in detail."
"Large Language Models Effectively Leverage Document-level Context for Literary Translation, but Critical Errors Persist",4].,,"""critical errors still abound, including occasional content omissions, and a human translator's intervention remains necessary to ensure that the author's voice remains intact."""
"Machine Translation with Large Language Models: Prompting, Few-shot Learning, and Fine-tuning with QLoRA",1.,,"""We propose a novel approach to image-text retrieval using multimodal language models."""
Automating Behavioral Testing in Machine Translation,4.,,"""ELMs have several limitations, including their inability to handle complex linguistic phenomena and their reliance on hand-crafted rules."""
"ChatGPT for Suicide Risk Assessment on Social Media: Quantitative Evaluation of Model Performance, Potentials and Limitations",4].,,"""We evaluate the effectiveness of our approach using several benchmark datasets and compare the results to those obtained using traditional LMs."" This sentence highlights the limitations of traditional LMs and the potential benefits of the proposed approach."
GenIE: Generative Information Extraction,1].,,The paper mentions
Quantifying Adaptability in Pre-trained Language Models with 500 Tasks,5].,,"The entire abstract focuses on the limitations and challenges of LLMs, including the need for better multimodal fusion methods, the importance of considering the input modalities, and the need for more research on the use of transformers for multimodal language understanding. The abstract highlights the serious issues related to LLMs"
PreCogIIITH at HinglishEval: Leveraging Code-Mixing Metrics & Language Model Embeddings To Estimate Code-Mix Quality,5].,,"""the lack of parallel corpora"", ""the difficulty in handling out-of-vocabulary words"", and ""the potential for overfitting."""
AmbiFC: Fact-Checking Ambiguous Claims with Evidence,3].,,"""In recent years, there has been a growing interest in using pre-trained language models (LM) for text classification tasks."" and ""We analyze the reasons for this degradation and provide recommendations for improving the performance of LM pre-training in such cases.""."
Language Varieties of Italy: Technology Challenges and Opportunities,3,,"""the limitations of these models and the challenges of adapting them to"
Benchmarking Large Language Models for News Summarization,4].,,"""By conducting a human evaluation on ten LLMs across different pretraining methods, prompts, and model scales, we make two important observations."""
