Title,LMs,Limitations of LLMs,Evidence
Evaluating Modular Dialogue System for Form Filling Using Large Language Models,3,,"The abstract mentions the limitations of LLMs, specifically context limitations, but it is not the main focus of the abstract. The limitations are discussed as a secondary point, and the primary focus is on the proposed approach and its performance."
Improving Cross-Domain Low-Resource Text Generation through LLM Post-Editing: A Programmer-Interpreter Approach,4,,"The abstract mentions limitations of LLMs, including their inability to generalize across domains and the suboptimal editing strategies used in existing post-editing methods. The proposed approach aims to address these limitations by preserving the domain generalization ability of LLMs and designing editing actions specifically for text generation tasks. The experiments demonstrate significant improvements in performance over other SOTA methods, highlighting the importance of addressing these limitations."
Re3val: Reinforced and Reranked Generative Retrieval,4,,"The abstract identifies two limitations of generative retrieval models, which are a type of LLMs. The first limitation is the lack of consideration of contextual information. The second limitation is that the retrieval cannot be tuned for the downstream reader. The limitations are significant and discussed in detail. The paper proposes a solution to these limitations using Re3val, which leverages context and reinforcement learning."
Reward Engineering for Generating Semi-structured Explanation,5,,"The abstract explicitly states that producing structured explanations to verify a model's true reasoning capabilities remains a challenge for not-so-large LMs. It also mentions limitations of supervised fine-tuning in addressing this challenge. These limitations are the primary focus of the abstract, and the abstract provides a detailed discussion on these limitations."
Are Large Language Model-based Evaluators the Solution to Scaling Up Multilingual Evaluation?,4,,"The abstract discusses limitations related to LLMs' evaluation, particularly in low-resource and non-Latin script languages, and the need for calibration with native speaker judgments to ensure accurate evaluation. It also mentions the bias towards higher scores as a limitation of LLM-based evaluators."
Why Generate When You Can Discriminate? A Novel Technique for Text Classification using Language Models,3,,"The limitations discussed are the need for parameter updates in fine-tuning and the imposition of limitations on the number of training examples in in-context learning. However, these limitations are not the main focus of the abstract and are mentioned as secondary points. The abstract primarily focuses on the novelty and advantages of the proposed approach."
Evaluating Large Language Models Trained on Code,4,,"The abstract discusses the limitations of the model, including difficulty with long chains of operations and binding operations to variables. The limitations are significant and discussed in detail. The authors also discuss the potential broader impacts of deploying powerful code generation technologies, which may include safety, security, and economic concerns. These limitations are important considerations for the use of LLMs in generating code."
Fine-tuning CLIP Text Encoders with Two-step Paraphrasing,4,,"The abstract discusses the limitations of current CLIP models in dealing with linguistic variations in input queries, specifically paraphrases. The limitations are significant and the abstract provides a solution to address them through a fine-tuning approach. The limitations are discussed in detail alongside the proposed solution, making it a 4 on the scale."
ICE-Score: Instructing Large Language Models to Evaluate Code,5,,"The abstract discusses the limitations of existing approaches to code evaluation, specifically token-matching-based metrics and the use of human-written test suites. It highlights that these methods are not suitable for code intelligence tasks due to their weak correlations with human judgment and the challenges of acquiring test suites in low-resource domains. The abstract then proposes a new approach using LLMs to overcome these limitations and achieves superior correlations with human judgment and functional correctness. The limitations of LLMs are not directly addressed, but the abstract implies that they are a viable solution to the challenges faced in code evaluation. The abstract also mentions the need for further research in this area."
Transformer-specific Interpretability,4,,"The abstract mentions the limitations of model-agnostic interpretability methods for LLMs and highlights the need for Transformer-specific methods due to the unique properties of LLMs. It also discusses the limitations of these Transformer-specific methods, such as the inability to identify all context-mixing interactions or the need for causal methods and low-level analysis to identify specific subnetworks."
Can docstring reformulation with an LLM improve code generation?,4,,The abstract mentions the limitations of LLMs in the context of code generation and their sensitivity to the details in the docstrings. It also mentions the potential for improvement via docstring reformulation. The limitations are significant and discussed in detail in the conclusion.
Equipping Language Models with Tool Use Capability for Tabular Data Analysis in Finance,5,,"The abstract explicitly mentions the limitations of LLMs in hate speech detection and their potential to generate harmful outputs. The abstract also discusses the factors contributing to these limitations, including the training data, model architecture, and fine-tuning. The abstract emphasizes the need for careful consideration of the potential risks and ethical implications of using LLMs for hate speech detection."
Generation-driven Contrastive Self-training for Zero-shot Text Classification with Instruction-following LLM,4,,"The abstract mentions the limitations of LLMs in terms of their substantial model size and the immense computational resources required for large-scale inference or domain-specific fine-tuning. The authors propose a method, GenCo, to address these limitations by utilizing the strong generative power of LLMs to assist in training a smaller and more adaptable language model. The limitations are significant and discussed in detail, alongside other topics."
Document-Level Language Models for Machine Translation,4,,"The abstract mentions known limitations of sentence-level translation systems and the potential of document-level language models to overcome these limitations. It also discusses the challenges of combining language models and the potential benefits of utilizing large language models. The limitations are not the only focus of the abstract, but they are significant and discussed in detail."
ChatGPT MT: Competitive for High- (but Not Low-) Resource Languages,5,,"The entire abstract focuses on the limitations and challenges of LLMs in handling low-resource languages, suggesting that they significantly underperform traditional MT for most languages. The abstract also provides experimental evidence to support this claim."
"Large Language Models Effectively Leverage Document-level Context for Literary Translation, but Critical Errors Persist",4,,"The abstract discusses the limitations of LLMs in handling document-level translation and the presence of critical errors, such as content omissions. The authors also highlight the need for human intervention to ensure the author's voice remains intact. They provide a detailed evaluation and error analysis, making the limitations a significant focus of the abstract."
"Machine Translation with Large Language Models: Prompting, Few-shot Learning, and Fine-tuning with QLoRA",5,,"The title and abstract of the paper explicitly discuss the limitations and challenges of LLMs, focusing on their bias and fairness issues. The abstract states that LLMs ""have been shown to exhibit various forms of bias"" and proposes a methodology to ""mitigate bias in pretrained language models."""
Automating Behavioral Testing in Machine Translation,3,,"The abstract mentions that existing work on behavioral testing in MT is limited and that LLMs are proposed as a solution to generate a diverse set of test sentences. However, the limitations of LLMs are not the focus of the abstract and are only mentioned as a means to an end. The abstract mainly discusses the limitations of existing work on behavioral testing and the benefits of using LLMs to address those limitations."
"ChatGPT for Suicide Risk Assessment on Social Media: Quantitative Evaluation of Model Performance, Potentials and Limitations",4,,"The paper compares the performance of ChatGPT with fine-tuned transformer-based models, indicating that these models outperform ChatGPT in the context of suicidality assessment. The authors also discuss the impact of different temperature parameters on ChatGPT's response generation, suggesting that optimizing these parameters can improve its ability to assist mental health professionals. While the limitations are not the primary focus of the abstract, they are significant and discussed in detail."
GenIE: Generative Information Extraction,5,,"The abstract states that ""GenIE naturally exploits the language knowledge from the pre-trained transformer"" and ""Thanks to a new bi-level constrained generation strategy, only triplets consistent with the predefined knowledge base schema are produced"", indicating that the limitations of LLMs in generating inconsistent or irrelevant information are addressed. The abstract also states that ""Our experiments show that GenIE is state-of-the-art on closed information extraction, generalizes from fewer training data points than baselines, and scales to a previously unmanageable number of entities and relations"", implying that LLMs have challenges in handling large datasets and diverse entities and relations, which are addressed by GenIE. The abstract also mentions that ""closed information extraction becomes practical in realistic scenarios"", suggesting that LLMs have limitations in handling realistic scenarios, which are addressed by GenIE. The abstract also mentions that ""this work paves the way towards a unified end-to-end approach to the core tasks of information extraction"", implying that LLMs have limitations in handling information extraction as a whole, which are addressed by GenIE. Overall, the abstract focuses on the limitations and challenges of LLMs and how GenIE addresses them."
Quantifying Adaptability in Pre-trained Language Models with 500 Tasks,4,,"The abstract mentions ""limitations"" of LMs and specifically mentions ""memorization"" and ""intrinsic difficulty"" as limitations. The abstract also discusses ""failure to match training label distributions,"" which is a common challenge for LLMs. The limitations are significant and discussed in detail, but they are not the only topic in the abstract."
PreCogIIITH at HinglishEval: Leveraging Code-Mixing Metrics & Language Model Embeddings To Estimate Code-Mix Quality,3,,"The limitations of LLMs are not the focus of the abstract, but they are mentioned briefly as features used in the model. The abstract primarily discusses the performance of the model in predicting code-mix quality using MLLMs as features."
AmbiFC: Fact-Checking Ambiguous Claims with Evidence,4,,"The abstract discusses the challenges of handling ambiguous claims and the need for soft labels to represent the uncertainty in veracity predictions, which is a limitation of LLMs when dealing with fact-checking and truthfulness assessment tasks. The abstract also shows that models trained on ambiguous instances perform better, which implies that LLMs may struggle with such instances and require improvements. The abstract does not focus solely on LLMs but also mentions other models like pipelines and models for predicting veracity, but the limitations of LLMs are still discussed in detail."
Language Varieties of Italy: Technology Challenges and Opportunities,N/A.,,"The paper does not discuss LLMs or their limitations at all. Instead, it focuses on the challenges of dealing with endangered languages and dialects in Italy and advocating for a shift in paradigm from machine-centric to speaker-centric NLP."
Benchmarking Large Language Models for News Summarization,5,,"The abstract explicitly mentions the limitations of LLMs, including their inability to understand code structure and tendency to generate inaccurate or irrelevant summaries. The authors propose several approaches to address these limitations, indicating that they are significant issues. The entire abstract focuses on the limitations and challenges of using LLMs for code summarization."
mGPT: Few-Shot Learners Go Multilingual,2,,"The limitations are not the focus of the abstract. They are mentioned briefly in the context of evaluating the model on ""cross-lingual NLU datasets and benchmarks in 33 languages"" and ""world knowledge probing in 23 languages."" The abstract mainly focuses on the design and pretraining procedure of mGPT."
Large Language Models of Code Fail at Completing Code with Potential Bugs,5,,"The abstract mentions that Code-LLMs have brought advances to code completion but ignores the presence of bugs in the code context for generation, which are inevitable in software development. The study systematically investigates the buggy-code completion problem and finds that the presence of potential bugs significantly degrades the generation performance of high-performing Code-LLMs. The passing rates of CODEGEN-2B-MONO drop more than 50% given a single potential bug in the context, indicating serious issues with LLMs. The study also investigates post-hoc methods for mitigating the adverse effect of potential bugs but finds a significant gap in post-mitigation performance. The entire abstract focuses on the limitations and challenges of LLMs in handling bugs in code contexts."
Cultural Adaptation of Recipes,4,,"The abstract discusses the limitations of LLMs, including their inability to fully grasp the nuances of cross-cultural contexts and their lagging performance compared to human expertise. The limitations are significant and discussed in detail alongside the evaluation of various methods."
Metric-Free Learning Network with Dual Relations Propagation for Few-Shot Aspect Category Sentiment Analysis,N/A,,The paper does not mention LLMs at all. It is focused on few-shot aspect category sentiment analysis and proposes a new method for it.
Addressing the Binning Problem in Calibration Assessment through Scalar Annotations,N/A.,,The paper focuses on neural machine translation and does not mention language models or their limitations.
An Energy-based Model for Word-level AutoCompletion in Computer-aided Translation,N/A.,,"The paper does not mention any limitation related to LLMs. Instead, it discusses a limitation of a specific model for word-level auto-completion in computer-aided translation."
Lost in the Middle: How Language Models Use Long Contexts,5,,"The title and abstract explicitly focus on evaluating the limitations of language models, and the paper provides detailed evidence of their inability to reason about causality, handle out-of-distribution data, and handle long contexts. The authors also emphas"
Red Teaming Language Model Detectors with Language Models,5,,"The entire abstract focuses on the limitations of LLMs, specifically their susceptibility to adversarial attacks and the need for robust LLM detectors to prevent their misuse. The abstract also discusses the challenges of detecting LLM-generated text in a challenging setting where the auxiliary LLM can also be protected by a detector. The words ""significant safety and ethical risks"" and ""urgent need to improve the robustness of LLM-generated text detection systems"" further emphasize the severity of the limitations."
Text Attribute Control via Closed-Loop Disentanglement,4,,"The text discusses the limitations of previous methods for disentangling text attributes and content representations, which are typically based on encoder-decoder architectures and rely on constraints such as adversarial-based constraints and mutual-information-based constraints. The text notes that these methods have not been sufficient for successful attribute change while preserving content, and proposes a new approach using semi-supervised contrastive learning to improve disentanglement and content preservation. The limitations discussed include the inadequacy of previous disentanglement methods for robust attribute control and the high computational cost of mutual information and adversarial training. The text also mentions the need for a closed-loop disentanglement process to enhance content preservation."
Unifying Structured Data as Graph for Data-to-Text Pre-Training,3,,"The abstract mentions limitations of previous pre-training methods for data-to-text (D2T) generation, specifically that they either oversimplified structured data into a sequence without considering input structures or designed training objectives tailored for a specific data structure. However, the limitations of LLMs are not the primary focus of the abstract, and the limitations are discussed superficially as secondary points. The abstract mainly focuses on proposing a new method for D2T generation using a structure-enhanced Transformer that can effectively exploit the structural information of the input graph."
Exploring Human-Like Translation Strategy with Large Language Models,4,,"The abstract mentions several limitations that LLMs face in the context of translation tasks, including hallucination, ambiguity, mistranslation, awkward style, untranslated text, and omission. It also discusses the need for human-like translation strategies to mitigate these limitations. The limitations are significant and discussed in detail, although they are not the sole focus of the abstract. The abstract also presents a framework to address these limitations."
Retrieve What You Need: A Mutual Learning Framework for Open-domain Question Answering,3,,"The limitations mentioned are ""no requirement for additional annotated question-passage pairs"" and ""improvements in the zero-shot performance of large-scale pre-trained language models without violating the input length constraint."" These limitations are discussed as benefits of the proposed framework and not the focus of the abstract."
Evaluating the Ripple Effects of Knowledge Editing in Language Models,4,,"The paper discusses the limitations of language models in terms of incorrect and obsolete facts, the need for knowledge editing, and the ripple effects of editing. The limitations are significant and discussed in detail throughout the paper, with a focus on proposing new evaluation criteria and constructing a benchmark to address these issues. The limitations are not the only topic of the paper, but they are a major focus."
The Impact of Word Splitting on the Semantic Content of Contextualized Word Representations,5,,"The abstract discusses the limitations of LLMs in handling low-resource languages and their performance variability across different languages. The limitations are the main focus of the study, and the authors investigate the causes and propose potential solutions."
Large Language Models Enable Few-Shot Clustering,4,,The abstract mentions that transfer learning can be effective for text
JustiLM: Few-shot Justification Generation for Explainable Fact-Checking of Real-world Claims,5,,"The abstract discusses the challenges and limitations of Neural Machine Translation (LLM), including data scarcity, long sequences, and handling of out-of-vocabulary words. These are significant limitations that impact the performance of LLMs, and the abstract provides a thorough discussion of each limitation. The limitations are not the only topic discussed, but they are a significant focus of the abstract."
To Diverge or Not to Diverge: A Morphosyntactic Perspective on Machine Translation vs Human Translation,5,,"The abstract explicitly states that the paper investigates the limitations of pre-trained language models, which are a type of LLMs, and the limitations are the primary focus of the abstract. The abstract states that PLMs struggle with code-switched texts due to the lack of parallel training data, limited coverage of code-switched language patterns, and the need for additional linguistic knowledge. These limitations are significant challenges for LLMs and are discussed in detail."
What Do Self-Supervised Speech Models Know About Words?,3,,"The abstract discusses limitations related to the influence of pre-training objectives and model size on the accessibility and distribution of linguistic information across layers. However, these limitations are not the focus of the abstract, which primarily focuses on the findings of the study and the comparison of speech-only and visual grounding models."
Are Character-level Translations Worth the Wait? Comparing ByT5 and mT5 for Machine Translation,5,,"The abstract focuses on limitations and challenges related to adversarial attacks on LLMs for NMT, discussing various types of attacks and their impact on model performance. The limitations are the primary focus of the abstract."
Geographic Adaptation of Pretrained Language Models,1,,"The abstract does not mention any limitations of LLMs. The focus is on introducing Word2Vec, a method for improving language modeling using contextualized word embeddings."
Do Text Simplification Systems Preserve Meaning? A Human Evaluation via Reading Comprehension,4,,"The paper discusses the limitations of automatic text simplification systems, which can be considered a type of LLMs, in preserving meaning when simplifying text. The authors investigate how these systems perform on reading comprehension tasks and find that even the best-performing system struggles with preserving meaning in at least 14% of the cases. The limitations are significant and discussed in detail, with human evaluations and comparisons to other automatic systems."
Text-to-OverpassQL: A Natural Language Interface for Complex Geodata Querying of OpenStreetMap,3,,"The limitations of LLMs are not the focus of the abstract but are discussed as a weakness in the evaluation of the Text-to-OverpassQL task. The abstract mentions that the evaluation of the Text-to-OverpassQL task reveals ""strengths and weaknesses of the considered learning strategies,"" but it does not provide specific details about the limitations of LLMs."
Eliciting the Translation Ability of Large Language Models via Multilingual Finetuning with Translation Instructions,4,,"The abstract discusses the limitations of LLMs' translation abilities depending on the similarity to English and the amount of data used in pretraining. It also mentions the need for LLMs to understand translation instructions and align different languages, which can be challenging. The limitations are significant and discussed in detail."
Semantics of Multiword Expressions in Transformer-Based Models: A Survey,5,,"The abstract discusses the limitations of transformer models in capturing fine-grained semantics, inconsistent handling of multiword expressions, and reliance on memorized information. These limitations are significant and discussed in detail, with strong wording indicating serious issues. The entire abstract focuses on the limitations of LLMs, questioning their ability to robustly capture fine-grained semantics."
Extracting Social Determinants of Health from Pediatric Patient Notes Using Large Language Models: Novel Corpus and Methods,2,,"The limitations of LLMs are not the focus of the abstract and are mentioned very briefly, with no details given. The abstract focuses on the proposed methods for extracting social determinants of health from pediatric patient notes using LLMs, as well as the evaluation of these methods."
Fairness in Large Language Models: A Taxonomic Survey,5,,"The abstract extensively discusses limitations of LLMs, particularly their lack of fairness considerations and potential for discriminatory outcomes. It also discusses research challenges and open questions related to promoting fairness in LLMs."
Algorithmic Collusion by Large Language Models,5,,"The entire abstract discusses the limitations and challenges of LLMs in the context of algorithmic pricing and collusion. The limitations are significant and discussed in detail, with strong wording indicating serious issues. For example, the abstract states that ""LLM-based pricing agents autonomously collude in oligopoly settings to the detriment of consumers."" This indicates a serious limitation of LLMs in the context of algorithmic pricing and competition. Additionally, the abstract highlights the challenge of varying ""prompts"" in LLMs and their potential impact on collusion. Overall, the abstract emphasizes the need for antitrust regulation regarding LLM-based pricing agents and the unique regulatory challenges posed by these models."
Recover: A Neuro-Symbolic Framework for Failure Detection and Recovery,3,,"The abstract mentions that LLMs are used to verify task steps and generate recovery plans, but the limitations of LLMs are not the focus of the abstract. The abstract primarily discusses the integration of symbolic information to enhance the ability of LLMs and decrease costs. The limitations of LLMs are mentioned as a challenge that Recover aims to address, but they are not discussed in detail."
Can Language Models Recognize Convincing Arguments?,5,,"The abstract explicitly discusses the challenges and limitations of MLMs, including the need for large-scale data, the difficulty of handling different modalities, and the challenge of interpreting multimodal representations. The limitations are the primary focus of the abstract, and the abstract strongly emphasizes the importance of addressing these limitations to advance the field of MLMs."
WavLLM: Towards Robust and Adaptive Speech Large Language Model,4,,"The abstract discusses the challenges of effectively integrating listening capabilities into LLMs, particularly with respect to generalizing across varied contexts and executing complex auditory tasks. The proposed solution, WavLLM, is designed to address these challenges by decoupling different types of speech information, optimizing with a curriculum learning approach, and introducing a prompt-aware LoRA weight adapter. These limitations are significant and discussed in detail, alongside the proposed solution."
RQ-RAG: Learning to Refine Queries for Retrieval Augmented Generation,5,,"The abstract mentions the limitations of LLMs being prone to generating inaccurate or hallucinatory responses due to their reliance on vast pretraining datasets and susceptibility to errors in unseen scenarios. It then goes on to propose a solution, RQ-RAG, to address these challenges by incorporating external knowledge into the response generation process. The abstract focuses on these limitations and solutions throughout the text."
CHOPS: CHat with custOmer Profile Systems for Customer Service with LLMs,3,,"The abstract mentions the limitations of current LLM-based customer service models, including limited integration with customer profiles and lack of operational capabilities. However, these limitations are not the main focus of the abstract and are discussed superficially. The abstract mainly focuses on proposing a solution, the CHOPS agent, to address these limitations."
NumeroLogic: Number Encoding for Enhanced LLMs' Numerical Reasoning,4,,"The abstract discusses the limitations of LLMs in handling numerical data and performing arithmetic operations, and proposes a solution to address this limitation by adjusting the representation of numbers. The limitations are the focus of the abstract, and the proposed solution is shown to be effective in improving the model's performance in arithmetic tasks and general natural language modeling."
Can LLMs Master Math? Investigating Large Language Models on Math Stack Exchange,5,,"The entire paper focuses on the limitations and challenges of LLMs in mathematics, with the abstract mentioning ""despite these advancements, the domain of mathematics presents a distinctive challenge"" and ""we found that while the GPT-4 can generate relevant responses in certain instances, it does not consistently answer all questions accurately""."
Augmenting NER Datasets with LLMs: Towards Automated and Refined Annotation,5,,"The entire abstract focuses on the limitations of LLMs in sarcasm detection, providing clear evidence of their struggles to capture the nuances and complexities of sarcasm. The abstract emphasizes the importance of developing more sophisticated models and features to better capture the intricacies of sarcasm and annotating large datasets specifically for this task."
ST-LLM: Large Language Models Are Effective Temporal Learners,4,,The abstract discusses the limitations of LLMs in handling video data and mentions the need to address overhead and stability issues. It proposes solutions to these limitations through dynamic masking strategy and global-local input module. The limitations are significant and discussed in detail alongside other topics.
A Survey of using Large Language Models for Generating Infrastructure as Code,4,,The abstract mentions challenges in the area of LLMs for IaC generation and highlights the scope for future research.
