title,Mentions LLM Limitations
Language model compression with weighted low-rank factorization,no
GaitForeMer: Self-Supervised Pre-Training of Transformers via Human Motion Forecasting for Few-Shot Gait Impairment Severity Estimation,no
Denoised MDPs: Learning World Models Better Than the World Itself,no
Forecasting Future World Events with Neural Networks,no
Watch and Match: Supercharging Imitation with Regularized Optimal Transport,no
Improving Visual Grounding by Encouraging Consistent Gradient-based Explanations,no
Two-Stage Classifier for COVID-19 Misinformation Detection Using BERT: a Study on Indonesian Tweets,no
GitHub Copilot AI pair programmer: Asset or Liability?,yes
The Topological BERT: Transforming Attention into Topology for Natural Language Processing,no
BigBIO: A Framework for Data-Centric Biomedical Natural Language Processing,no
Compressing Pre-trained Transformers via Low-Bit NxM Sparsity for Natural Language Understanding,yes
"""Diversity and Uncertainty in Moderation"" are the Key to Data Selection for Multilingual Few-shot Transfer",no
GSCLIP : A Framework for Explaining Distribution Shifts in Natural Language,no
GPTs at Factify 2022: Prompt Aided Fact-Verification,no
Two-Stage COVID19 Classification Using BERT Features,no
Solving Quantitative Reasoning Problems with Language Models,yes
Improving Deliberation by Text-Only and Semi-Supervised Training,no
Towards a Data-Driven Requirements Engineering Approach: Automatic Analysis of User Reviews,no
Simple and Effective Multi-sentence TTS with Expressive and Coherent Prosody,no
Contextual Density Ratio for Language Model Biasing of Sequence to Sequence ASR Systems,no
Chinese Word Sense Embedding with SememeWSD and Synonym Set,no
Knowledge Distillation of Transformer-based Language Models Revisited,yes
Bottleneck Low-rank Transformers for Low-resource Spoken Language Understanding,yes
Proton: Probing Schema Linking Information from Pre-trained Language Models for Text-to-SQL Parsing,no
CC-Riddle: A Question Answering Dataset of Chinese Character Riddles,yes
Exploring linguistic feature and model combination for speech recognition based automatic AD detection,no
Flexible text generation for counterfactual fairness probing,yes
Adaptive Multi-view Rule Discovery for Weakly-Supervised Compatible Products Prediction,no
NERDA-Con: Extending NER models for Continual Learning -- Integrating Distinct Tasks and Updating Distribution Shifts,yes
Generalized Policy Improvement Algorithms with Theoretically Supported Sample Reuse,no
Kwame for Science: An AI Teaching Assistant Based on Sentence-BERT for Science Education in West Africa,no
Perspective (In)consistency of Paint by Text,no
Materials Transformers Language Models for Generative Materials Design: a benchmark study,no
PROTOtypical Logic Tensor Networks (PROTO-LTN) for Zero Shot Learning,no
Repository-Level Prompt Generation for Large Language Models of Code,no
TEVR: Improving Speech Recognition by Token Entropy Variance Reduction,no
Distilling a Pretrained Language Model to a Multilingual ASR Model,no
Adversarial Self-Attention for Language Understanding,no
Construct a Sentence with Multiple Specified Words,no
Value-Consistent Representation Learning for Data-Efficient Reinforcement Learning,no
A Test for Evaluating Performance in Human-Computer Systems,no
Using BERT Embeddings to Model Word Importance in Conversational Transcripts for Deaf and Hard of Hearing Users,no
Text and author-level political inference using heterogeneous knowledge representations,no
MVP: Multi-task Supervised Pre-training for Natural Language Generation,no
Unified BERT for Few-shot Natural Language Understanding,no
SC-Ques: A Sentence Completion Question Dataset for English as a Second Language Learners,no
A Disability Lens towards Biases in GPT-3 Generated Open-Ended Languages,yes
BERT Rankers are Brittle: a Study using Adversarial Document Perturbations,yes
Constructing Cross-lingual Consumer Health Vocabulary with Word-Embedding from Comparable User Generated Content,no
Mining Error Templates for Grammatical Error Correction,no
Evaluating Generative Patent Language Models,no
CGAR: Critic Guided Action Redistribution in Reinforcement Leaning,no
Towards WinoQueer: Developing a Benchmark for Anti-Queer Bias in Large Language Models,yes
DP-Parse: Finding Word Boundaries from Raw Speech with an Instance Lexicon,no
GODEL: Large-Scale Pre-Training for Goal-Directed Dialog,no
Answer Fast: Accelerating BERT on the Tensor Streaming Processor,no
Multi-LexSum: Real-World Summaries of Civil Rights Lawsuits at Multiple Granularities,yes
Scaling Autoregressive Models for Content-Rich Text-to-Image Generation,no
Efficient and effective training of language and graph neural network models,no
Don't Forget About Pronouns: Removing Gender Bias in Language Models Without Losing Factual Gender Information,yes
Using cognitive psychology to understand GPT-3,yes
BenchCLAMP: A Benchmark for Evaluating Language Models on Syntactic and Semantic Parsing,no
Questions Are All You Need to Train a Dense Passage Retriever,no
EnvPool: A Highly Parallel Reinforcement Learning Environment Execution Engine,no
PlanBench: An Extensible Benchmark for Evaluating Large Language Models on Planning and Reasoning about Change,yes
An Automatic and Efficient BERT Pruning for Edge AI Systems,no
CoCoPIE XGen: A Full-Stack AI-Oriented Optimizing Framework,no
TabText: A Flexible and Contextual Approach to Tabular Data Representation,yes
KnowDA: All-in-One Knowledge Mixture Model for Data Augmentation in Low-Resource NLP,no
TAPHSIR: Towards AnaPHoric Ambiguity Detection and ReSolution In Requirements,no
Knowledge Graph Fusion for Language Model Fine-tuning,no
General Framework for Reversible Data Hiding in Texts Based on Masked Language Modeling,no
Automatic Controllable Product Copywriting for E-Commerce,no
"Fewer Errors, but More Stereotypes? The Effect of Model Size on Gender Bias",yes
SPBERTQA: A Two-Stage Question Answering System Based on Sentence Transformers for Medical Texts,no
Domain-Adaptive Text Classification with Structured Knowledge from Unlabeled Data,yes
Towards Unified Conversational Recommender Systems via Knowledge-Enhanced Prompt Learning,no
An Embedded Feature Selection Framework for Control,no
Can Language Models Capture Graph Semantics? From Graphs to Language Model and Vice-Versa,no
Automatic Summarization of Russian Texts: Comparison of Extractive and Abstractive Methods,no
Argumentative Text Generation in Economic Domain,no
RuArg-2022: Argument Mining Evaluation,no
VReBERT: A Simple and Flexible Transformer for Visual Relationship Detection,no
Beyond Rewards: a Hierarchical Perspective on Offline Multiagent Behavioral Analysis,no
niksss at HinglishEval: Language-agnostic BERT-based Contextual Embeddings with Catboost for Quality Evaluation of the Low-Resource Synthetically Generated Code-Mixed Hinglish Text,no
Language with Vision: a Study on Grounded Word and Sentence Embeddings,no
