Title,Mentions LLM Limitations
IAG: Induction-Augmented Generation Framework for Answering Reasoning Questions,yes
Primacy Effect of ChatGPT,yes
Evaluating the Rationale Understanding of Critical Reasoning in Logical Reading Comprehension,yes
Theory of Mind for Multi-Agent Collaboration via Large Language Models,yes
Establishing Trustworthiness: Rethinking Tasks and Model Evaluation,yes
GPTAraEval: A Comprehensive Evaluation of ChatGPT on Arabic NLP,yes
Evaluating Object Hallucination in Large Vision-Language Models,yes
Parameter-efficient Tuning for Large Language Model without Calculating Its Gradients,yes
CompoundPiece: Evaluating and Improving Decompounding Performance of Language Models,yes
How to Enhance Causal Discrimination of Utterances: A Case on Affective Reasoning,yes
Temporal Knowledge Graph Forecasting Without Knowledge Using In-Context Learning,yes
Knowledge Graph Compression Enhances Diverse Commonsense Generation,yes
LLM-FP4: 4-Bit Floating-Point Quantized Transformers,yes
LLM-powered Data Augmentation for Enhanced Cross-lingual Performance,yes
Conceptual structure coheres in human cognition but not in large language models,yes
Towards LLM-driven Dialogue State Tracking,yes
We’re Afraid Language Models Aren’t Modeling Ambiguity,yes
Fidelity-Enriched Contrastive Search: Reconciling the Faithfulness-Diversity Trade-Off in Text Generation,no
"Reading Books is Great, But Not if You Are Driving! Visually Grounded Reasoning about Defeasible Commonsense Norms",yes
Enhancing Uncertainty-Based Hallucination Detection with Stronger Focus,yes
Tree of Clarifications: Answering Ambiguous Questions with Retrieval-Augmented Large Language Models,yes
Large Language Models Can Self-Improve,yes
CodeT5+: Open Code Large Language Models for Code Understanding and Generation,yes
Hyperpolyglot LLMs: Cross-Lingual Interpretability in Token Embeddings,no
SeqXGPT: Sentence-Level AI-Generated Text Detection,yes
QTSumm: Query-Focused Summarization over Tabular Data,yes
Towards Robust Pruning: An Adaptive Knowledge-Retention Pruning Strategy for Language Models,yes
Unveiling the Implicit Toxicity in Large Language Models,yes
Is ChatGPT a General-Purpose Natural Language Processing Task Solver?,yes
ALCUNA: Large Language Models Meet New Knowledge,yes
Transcending Scaling Laws with 0.1% Extra Compute,yes
CoAnnotating: Uncertainty-Guided Work Allocation between Human and Large Language Models for Data Annotation,yes
Robust Prompt Optimization for Large Language Models Against Distribution Shifts,yes
Exploiting Asymmetry for Synthetic Training Data Generation: SynthIE and the Case of Information Extraction,no
Increasing Coverage and Precision of Textual Information in Multilingual Knowledge Graphs,yes
Outlier Suppression+: Accurate quantization of large language models by equivalent and effective shifting and scaling,no
Interpreting Embedding Spaces by Conceptualization,yes
Knowledge-Augmented Language Model Verification,yes
Failures Pave the Way: Enhancing Large Language Models through Tuning-free Rule Accumulation,yes
Active Instruction Tuning: Improving Cross-Task Generalization by Training on Prompt Sensitive Tasks,yes
“Fifty Shades of Bias”: Normative Ratings of Gender Bias in GPT Generated English Text,yes
ChatGPT to Replace Crowdsourcing of Paraphrases for Intent Classification: Higher Diversity and Comparable Model Robustness,yes
Democratizing Reasoning Ability: Tailored Learning from Large Language Model,yes
OpenAsp: A Benchmark for Multi-document Open Aspect-based Summarization,yes
Self-Influence Guided Data Reweighting for Language Model Pre-training,yes
TrueTeacher: Learning Factual Consistency Evaluation with Large Language Models,yes
Larger Probes Tell a Different Story: Extending Psycholinguistic Datasets Via In-Context Learning,yes
CRT-QA: A Dataset of Complex Reasoning Question Answering over Tabular Data,no
MAGNIFICo: Evaluating the In-Context Learning Ability of Large Language Models to Generalize to Novel Interpretations,yes
Generating and Evaluating Tests for K-12 Students with Language Model Simulations: A Case Study on Sentence Reading Efficiency,yes
Counter Turing Test (CT2): AI-Generated Text Detection is Not as Easy as You May Think - Introducing AI Detectability Index (ADI),yes
Instructed Language Models with Retrievers Are Powerful Entity Linkers,yes
Does the Correctness of Factual Knowledge Matter for Factual Knowledge-Enhanced Pre-trained Language Models?,yes
The Shifted and The Overlooked: A Task-oriented Investigation of User-GPT Interactions,no
"The Past, Present and Better Future of Feedback Learning in Large Language Models for Subjective Human Preferences and Values",yes
TempTabQA: Temporal Question Answering for Semi-Structured Tables,yes
Task-Level Thinking Steps Help Large Language Models for Challenging Classification Task,yes
G-Eval: NLG Evaluation using Gpt-4 with Better Human Alignment,yes
"The Troubling Emergence of Hallucination in Large Language Models - An Extensive Definition, Quantification, and Prescriptive Remediations",yes
Improving Summarization with Human Edits,yes
The Skipped Beat: A Study of Sociopragmatic Understanding in LLMs for 64 Languages,yes
Understanding the Effect of Model Compression on Social Bias in Large Language Models,yes
BioPlanner: Automatic Evaluation of LLMs on Protocol Planning in Biology,yes
Cross-lingual Prompting: Improving Zero-shot Chain-of-Thought Reasoning across Languages,yes
FinGPT: Large Generative Models for a Small Language,yes
Indicative Summarization of Long Discussions,no
"Plan, Verify and Switch: Integrated Reasoning with Diverse X-of-Thoughts",yes
Critic-Driven Decoding for Mitigating Hallucinations in Data-to-text Generation,yes
Can Language Models Laugh at YouTube Short-form Videos?,yes
API-Bank: A Comprehensive Benchmark for Tool-Augmented LLMs,yes
Lion: Adversarial Distillation of Proprietary Large Language Models,yes
Evaluating Large Language Models on Controlled Generation Tasks,yes
"DeSIQ: Towards an Unbiased, Challenging Benchmark for Social Intelligence Understanding",yes
"Why LLMs Hallucinate, and How to Get (Evidential) Closure: Perceptual, Intensional, and Extensional Learning for Faithful Natural Language Generation",yes
Can LLMs Facilitate Interpretation of Pre-trained Language Models?,yes
Oolong: Investigating What Makes Transfer Learning Hard with Controlled Studies,yes
Knowledge Rumination for Pre-trained Language Models,yes
Struct-XLM: A Structure Discovery Multilingual Language Model for Enhancing Cross-lingual Transfer through Reinforcement Learning,yes
AdaSent: Efficient Domain-Adapted Sentence Embeddings for Few-Shot Classification,no
Dancing Between Success and Failure: Edit-level Simplification Evaluation using SALSA,yes
GPT-RE: In-context Learning for Relation Extraction using Large Language Models,yes
INFORM : Information eNtropy based multi-step reasoning FOR large language Models,yes
Adaptive Gating in Mixture-of-Experts based Language Models,yes
On the Automatic Generation and Simplification of Children’s Stories,yes
The Curious Case of Hallucinatory (Un)answerability: Finding Truths in the Hidden States of Over-Confident Large Language Models,yes
