Title,Talks about LLMs,Rate,Evidence
RankGen: Improving Text Generation with Large Ranking Models,Yes.,5,"""modern language models often assign high probabilities to output sequences that are repetitive, incoherent, or irrelevant to the prefix; as such, model-generated text also contains such artifacts."""
"Tomayto, Tomahto. Beyond Token-level Answer Equivalence for Question Answering Evaluation",No.,1,The abstract does not mention LLMs or their limitations. It focuses on the evaluation of QA systems and the shortcomings of token-level equivalence measures.
UnifiedSKG: Unifying and Multi-Tasking Structured Knowledge Grounding with Text-to-Text Language Models,Yes.,3,"""we show that T0, GPT-3, and Codex struggle in zero-shot and few-shot learning for SKG."""
DocInfer: Document-level Natural Language Inference using Optimal Evidence Selection,Yes.,3,"""Our evidence selection mechanism allows it to transcend the input length limitation of modern BERT-like Transformer models while presenting the entire evidence together for inferential reasoning."""
Entity Extraction in Low Resource Domains with Selective Pre-training of Large Language Models,Yes.,3,"""Transformer-based language models trained on large natural language corpora have been very useful in downstream entity extraction tasks. However, they often result in poor performances when applied to domains that are different from those they are pretrained on."""
How Large Language Models are Transforming Machine-Paraphrase Plagiarism,Yes.,2,"""The recent success of large language models for text generation poses a severe threat to academic integrity, as plagiarists can generate realistic paraphrases indistinguishable from original work."""
ELMER: A Non-Autoregressive Pre-trained Language Model for Efficient and Effective Text Generation,,,
Z-LaVI: Zero-Shot Language Solver Fueled by Visual Imagination,Yes.,3,"""However, they generally suffer from reporting bias, the phenomenon describing the lack of explicit commonsense knowledge in written text, e.g., 'an orange is orange'."""
Generative Multi-hop Retrieval,Yes.,3,"""However, such a bi-encoder approach has limitations in multi-hop settings; (1) the reformulated query gets longer as the number of hops increases, which further tightens the embedding bottleneck of the query vector, and (2) it is prone to error propagation."""
Extracted BERT Model Leaks More Information than You Think!,Yes.,3,"""Our extensive experiments reveal that model extraction can cause severe privacy leakage even when victim models are facilitated with state-of-the-art defensive strategies."""
An Empirical Analysis of Memorization in Fine-tuned Autoregressive Language Models,Yes.,5,"""Large language models are shown to present privacy risks through memorization of training data,"" and ""we empirically study memorization of fine-tuning methods using membership inference and extraction attacks, and show that their susceptibility to attacks is very different."""
EvEntS ReaLM: Event Reasoning of Entity States via Language Models,Yes.,5,"""Nominally, Large Language models (LLM) have been exposed to procedural knowledge about how objects interact, yet our benchmarking shows they fail to reason about the world."""
Large language models are few-shot clinical information extractors,Yes.,1,"""large language models, such as InstructGPT (Ouyang et al., 2022), perform well at zero- and few-shot information extraction from clinical text despite not being trained specifically for the clinical domain."""
Are Hard Examples also Harder to Explain? A Study with Human and Model-Generated Explanations,Yes.,3,"""for hard examples, human explanations are significantly better than GPT-3 explanations both in terms of label-supportiveness and generalizability judgements."""
Gradient-based Constrained Sampling from Language Models,Yes.,3,"""Large pretrained language models are successful at generating fluent text but are notoriously hard to controllably sample from."""
Rich Knowledge Sources Bring Complex Knowledge Conflicts: Recalibrating Models to Reflect Conflicting Evidence,Yes.,5,"""we simulate knowledge conflicts (i.e., where parametric knowledge suggests one answer and different passages suggest different answers) and examine model behaviors"" and ""contradictions among knowledge sources affect model confidence only marginally."""
SafeText: A Benchmark for Exploring Physical Safety in Language Models,Yes.,5,"""We find that state-of-the-art large language models are susceptible to the generation of unsafe text and have difficulty rejecting unsafe advice."""
Language Model Decomposition: Quantifying the Dependency and Correlation of Language Models,Yes.,2,"""To further advance SOTA we need more diverse and novel LMs that are less dependent on existing LMs."""
Calibrating Zero-shot Cross-lingual (Un-)structured Predictions,Yes.,3,"""We find that models trained with data from the source language become less calibrated when applied to the target language and that calibration errors increase with intrinsic task difficulty and relative sparsity of training data."""
Fast-R2D2: A Pretrained Recursive Neural Network based on Pruned CKY for Grammar Induction and Text Representation,,,
