Title,Talks about LLMs,Rate,Evidence
ACLM: A Selective-Denoising based Generative Data Augmentation Approach for Low-Resource Complex NER,Yes.,1.,"""In this paper, we present ACLM Attention-map aware keyword selection for Conditional Language Model fine-tuning), a novel data augmentation approach based on conditional generation, to address the data scarcity problem in low-resource complex NER."""
MIL-Decoding: Detoxifying Language Models at Token-Level via Multiple Instance Learning,Yes.,4.,"""Despite advances in large pre-trained neural language models, they are prone to generating toxic language, which brings security risks to their applications."""
Text Adversarial Purification as Defense against Adversarial Attacks,Yes.,1.,"""With the help of language models, we can inject noise by masking input texts and reconstructing the masked texts based on the masked language models."""
Knowledge of cultural moral norms in large language models,Yes.,4.,"""We find that pre-trained English language models predict empirical moral norms across countries worse than the English moral norms reported previously. However, fine-tuning language models on the survey data improves inference across countries at the expense of a less accurate estimate of the English moral norms."""
A Causal Framework to Quantify the Robustness of Mathematical Reasoning with Language Models,Yes.,5.,"""the robustness of these models has also been called into question; recent works have shown that models can rely on shallow patterns in the problem description when generating a solution"" and ""Our analysis shows that robustness does not appear to continuously improve as a function of size."""
Increasing Diversity While Maintaining Accuracy: Text Data Generation with Large Language Models and Human Interventions,Yes.,,
Self-Edit: Fault-Aware Code Editor for Code Generation,Yes.,3.,"""However, with limited sample numbers, LLMs still suffer from poor accuracy."""
Does GPT-3 Grasp Metaphors? Identifying Metaphor Mappings with Generative Language Models,Yes.,3.,"""GPT’s most common error is a hallucinated source domain for which no indicator is present in the sentence. Other common errors include identifying a sequence as literal even though a metaphor is present and predicting the wrong source domain based on specific words in the sequence that are"
ALERT: Adapt Language Models to Reasoning Tasks,Yes.,5.,"""it is unclear whether these models are applying reasoning skills they have learnt during pre-training, or if they are simply memorizing their training corpus at finer granularity,"" and ""we also find that when language models are finetuned they tend to overfit to the prompt template, which hurts the robustness of models causing generalization"
Glot500: Scaling Multilingual Corpora and Language Models to 500 Languages,Yes.,1.,"""The NLP community has mainly focused on scaling Large Language Models (LLMs) vertically, i.e., making them better for about 100 languages."""
Pretrained Bidirectional Distillation for Machine Translation,,,
ThinkSum: Probabilistic reasoning over sets using large language models,Yes.,5.,"""recent studies show that even the more advanced LLMs fail in scenarios that require reasoning over multiple objects or facts and making sequences of logical deductions."""
Synthetic Text Generation with Differential Privacy: A Simple and Practical Recipe,Yes.,1.,"""simply fine-tuning a pretrained generative language model with DP enables the model to generate useful synthetic text with strong privacy protection."""
Cross-Domain Data Augmentation with Domain-Adaptive Language Modeling for Aspect-Based Sentiment Analysis,Yes.,1.,"""we propose a new cross-domain Data Augmentation approach based on Domain-Adaptive Language Modeling named DA2LM"""
Marked Personas: Using Natural Language Prompts to Measure Stereotypes in Language Models,,,
Elaboration-Generating Commonsense Question Answering at Scale,Yes.,2.,"""Yet the cost of working with such models is very high."""
DaMSTF: Domain Adversarial Learning Enhanced Meta Self-Training for Domain Adaptation,Yes.,1.,"""On the cross-domain sentiment classification task, DaMSTF improves the performance of BERT with an average of nearly 4%."""
Do language models have coherent mental models of everyday things?,Yes.,5.,"""we observe that state-of-the-art pre-trained language models (LMs) like GPT-3 and Macaw have fragments of knowledge about these everyday things, but do not have fully coherent 'parts mental models' (54-59% accurate, 19-43% conditional constraint violation)."""
"KALM: Knowledge-Aware Integration of Local, Document, and Global Contexts for Long Document Understanding",Yes.,2.,"""While existing approaches leverage external knowledge, it remains an open question how to jointly incorporate knowledge graphs represented in varying contexts"" and ""incorporating varying contexts can especially benefit long document understanding tasks that leverage pre-trained LMs, typically bounded by the input sequence length."""
Z-ICL: Zero-Shot In-Context Learning with Pseudo-Demonstrations,Yes.,3.,"""performance drops significantly when no demonstrations are available."""
Training-free Neural Architecture Search for RNNs and Transformers,,,
Plan-and-Solve Prompting: Improving Zero-Shot Chain-of-Thought Reasoning by Large Language Models,Yes.,5.,"""Despite the success of Zero-shot-CoT, it still suffers from three pitfalls"
Symbolic Chain-of-Thought Distillation: Small Models Can Also “Think” Step-by-Step,Yes.,3.,"""benefits appear to emerge only for sufficiently large models (beyond 50B parameters)."""
Towards Understanding Chain-of-Thought Prompting: An Empirical Study of What Matters,Yes.,3.,"""Despite its success, there is still little understanding of what makes CoT prompting effective and which aspects of the demonstrated reasoning steps contribute to its performance."""
Dynamic and Efficient Inference for Text Generation via BERT Family,Yes.,5.,"""they suffer from inefficient inference on computation and memory due to their large-scale parameters and the universal autoregressive decoding paradigm."""
An Invariant Learning Characterization of Controlled Text Generation,Yes.,3.,"""researchers hoping to deploy a large language model to produce non-toxic content may use a toxicity classifier to filter generated text"" and ""the performance of controlled generation may be poor if the distributions of text in response to user prompts differ from the distribution the predictor was trained on."""
HyPe: Better Pre-trained Language Model Fine-tuning with Hidden Representation Perturbation,Yes.,3.,"""there still poses problems when fine-tuning pre-trained language models on downstream tasks, such as over-fitting or representation collapse."""
Decoding Symbolism in Language Models,,,
A Survey on Zero Pronoun Translation,Yes.,3.,"""ZPT is in line with the development trend of large language model"" and ""data limitation causes learning bias in languages and domains"" and ""advanced methods are still far from real-world use"" and ""general-purpose metrics are not reliable on nuances and complexities of ZPT, emphasizing the necessity of targeted metrics."""
Alleviating Over-smoothing for Unsupervised Sentence Representation,Yes.,3.,"""Experimentally, we observe that the over-smoothing problem reduces the capacity of these powerful PLMs, leading to sub-optimal sentence representations."""
Code4Struct: Code Generation for Few-Shot Event Structure Prediction,Yes.,1.,"""Large Language Model (LLM) trained on a mixture of text and code has demonstrated impressive capability in translating natural language (NL) into structured code."""
Entity Tracking in Language Models,Yes.,3.,"""we present a task probing to what extent a language model can infer the final state of an entity given an English description of the initial state and a series of state-changing operations"" and ""pretraining on text corpora alone does not make this capacity surface."""
Faithful Question Answering with Monte-Carlo Planning,Yes.,3.,"""revealing the intermediate reasoning steps that the models faithfully follow remains challenging."""
Analyzing and Reducing the Performance Gap in Cross-Lingual Transfer with Fine-tuning Slow and Fast,Yes.,3.,"""However, there is a clear gap between the performance of the source language and that of the non-source languages."""
Social-Group-Agnostic Bias Mitigation via the Stereotype Content Model,Yes.,4.,"""Existing bias mitigation methods require social-group-specific word pairs (e.g., “man” – “woman”) for each social attribute (e.g., gender), restricting the bias mitigation to only one specified social attribute. Further, this constraint renders such methods impractical and costly for mitigating bias in"
Revisiting the Gold Standard: Grounding Summarization Evaluation with Robust Human Evaluation,Yes.,3.,"""The metrics we benchmarked include recent methods based on large language models (LLMs), GPTScore and G-Eval. Furthermore, our findings have important implications for evaluating LLMs, as we show that LLMs adjusted by human feedback (e.g., GPT-3.5"
FIREBALL: A Dataset of Dungeons and Dragons Actual-Play with Structured Game State Information,Yes.,2.,"""Recent work has shown that large language models (LLMs) that have access to state information can generate higher quality game turns than LLMs that use dialog history alone. However, previous work used game state information that was heuristically created and was not a true gold standard game"
Distilling Script Knowledge from Large Language Models for Constrained Language Planning,Yes.,2.,"""Previous work has exploited language models (LMs) to plan for abstract goals of stereotypical activities (e.g., “make a cake”), but leaves more specific goals with multi-facet constraints understudied (e.g., “make a cake for diabetics”)."""
CELDA: Leveraging Black-box Language Model as Enhanced Classifier without Labels,Yes.,3.,"""Despite their efficacy, they still fall short in comparison to fully supervised counterparts and are generally brittle to slight modifications."""
Explanation-based Finetuning Makes Models More Robust to Spurious Cues,Yes.,5.,"""Large Language Models (LLMs) are so powerful that they sometimes learn correlations between labels and features that are irrelevant to the task, leading to poor generalization on out-of-distribution data."""
"On Second Thought, Let’s Not Think Step by Step! Bias and Toxicity in Zero-Shot Reasoning",Yes.,5.,"""We find that zero-shot CoT reasoning in sensitive domains significantly increases a model’s likelihood to produce harmful or undesirable output,"" and ""Our work suggests that zero-shot CoT should be used with caution on socially important tasks, especially when marginalized groups or sensitive topics are involved."""
