Source ,Title,Talks about LLMs,Rate,Evidence,Year ,Date ,Keyphrase
arXIv2022,Knowledge Distillation of Transformer-based Language Models Revisited,Yes.,5,"""However, the large model size and high run-time latency are serious impediments to applying them in practice, especially on mobile phones and Internet of Things (IoT) devices.""",2022,2022-06-29T02:16:56Z,"Keyphrase: ""High runtime latency"""
arXIv2022,CC-Riddle: A Question Answering Dataset of Chinese Character Riddles,Yes.,5,"""The test results reveal that current language models still struggle to solve Chinese character riddles.""",2022,2022-06-28T06:23:13Z,"Keyphrase: ""Struggles with solving specific language challenges"""
arXIv2022,A Disability Lens towards Biases in GPT-3 Generated Open-Ended Languages,Yes.,4,"""concerns remain whether open-ended languages or text generated from these models reveal any biases toward a specific group of people, thereby risking the usability of a certain product.""",2022,2022-06-23T21:57:08Z,"Keyphrase: ""Bias towards specific groups"""
arXIv2022,BERT Rankers are Brittle: a Study using Adversarial Document Perturbations,Yes.,5,"""we argue that BERT-rankers are not immune to adversarial attacks targeting retrieved documents given a query,"" and ""we find that BERT-rankers heavily rely on the document start/head for relevance prediction, making the initial part of the document more susceptible to adversarial attacks.""",2022,2022-06-23T14:16:48Z,"Keyphrase: ""Vulnerability to adversarial attacks"""
arXIv2022,Towards WinoQueer: Developing a Benchmark for Anti-Queer Bias in Large Language Models,Yes.,4,"""This paper presents exploratory work on whether and to what extent biases against queer and trans people are encoded in large language models (LLMs) such as BERT."" and ""We found that BERT shows significant homophobic bias.""",2022,2022-06-23T05:30:47Z,"Keyphrase: ""Homophobic bias"""
arXIv2022,Don't Forget About Pronouns: Removing Gender Bias in Language Models Without Losing Factual Gender Information,Yes.,4,"""We aim to diminish the stereotypical bias in the representations while preserving the factual gender signal."" and ""Our filtering method shows that it is possible to decrease the bias of gender-neutral profession names without significant deterioration of language modeling capabilities.""",2022,2022-06-21T21:38:25Z,"Keyphrase: ""Bias reduction at the expense of language modeling capability"""
arXIv2022,Using cognitive psychology to understand GPT-3,Yes.,5,"""Yet we also find that small perturbations to vignette-based tasks can lead GPT-3 vastly astray, that it shows no signatures of directed exploration, and that it fails miserably in a causal reasoning task.""",2022,2022-06-21T20:06:03Z,"Keyphrase: ""Failure in causal reasoning"""
arXIv2022,PlanBench: An Extensible Benchmark for Evaluating Large Language Models on Planning and Reasoning about Change,Yes.,5,"""Our studies also show that on many critical capabilities-including plan generation-LLM performance falls quite short, even with the SOTA models.""",2022,2022-06-21T16:15:27Z,"Keyphrase: ""Limited plan generation capabilities"""
arXIv2022,"Fewer Errors, but More Stereotypes? The Effect of Model Size on Gender Bias",Yes.,4,"""we examine the connection between model size and its gender bias (specifically, occupational gender bias)."" and ""Our findings highlight the potential risks that can arise from increasing model size.""",2022,2022-06-20T15:52:40Z,"Keyphrase: ""Gender bias amplification"""
arXIv2022,Methods for Estimating and Improving Robustness of Language Models,Yes.,5,"""large language models (LLMs) suffer notorious flaws related to their preference for simple, surface-level textual relations over full semantic complexity of the problem"" and ""weak ability to generalise outside of the training domain.""",2022,2022-06-16T21:02:53Z,"Keyphrase: ""Weak generalization outside training domain"""
arXIv2022,Characteristics of Harmful Text: Towards Rigorous Benchmarking of Language Models,Yes.,5,"""However, recent literature and, increasingly, real world observations, have demonstrated that these models can generate language that is toxic, biased, untruthful or otherwise harmful.""",2022,2022-06-16T17:28:01Z,"Keyphrase: ""Toxic, biased, and untruthful language"""
arXIv2022,Beyond the Imitation Game: Quantifying and extrapolating the capabilities of language models,Yes.,5,"""it is vital that we understand the present and near-future capabilities and limitations of language models"" and ""BIG-bench focuses on tasks that are believed to be beyond the capabilities of current language models"" and ""model performance and calibration both improve with scale, but are poor in absolute terms"" and ""social bias typically increases with scale in settings with ambiguous context, but this can be",2022,2022-06-09T17:05:34Z,"Keyphrase: ""Limited performance calibration"""
