Source ,Title,Talks about LLMs,Rate,Evidence,Year ,Date ,Keyphrase
arXIv2023,FloodBrain: Flood Disaster Reporting by Web-based Retrieval Augmented Generation with an LLM,Yes.,5,"""LLMs are constrained by the knowledge within their training data and are prone to generating inaccurate, or 'hallucinated', information.""",2023,2023-11-05T08:34:26Z,"Keyphrase: ""Inaccurate hallucinated information"""
arXIv2023,Narrowing the Gap between Zero- and Few-shot Machine Translation by Matching Styles,Yes.,4,"""Large language models trained primarily in a monolingual setting have demonstrated their ability to generalize to machine translation using zero- and few-shot examples with in-context learning. However, even though zero-shot translations are relatively good, there remains a discernible gap comparing their performance with the few-shot setting.""",2023,2023-11-04T03:18:45Z,"Keyphrase: ""Limited few-shot translation performance"""
arXIv2023,An Interdisciplinary Outlook on Large Language Models for Scientific Research,Yes.,5,"""we articulate the challenges LLMs face, including their reliance on extensive and sometimes biased datasets, and the potential ethical dilemmas stemming from their use.""",2023,2023-11-03T19:41:09Z,"Keyphrase: ""Reliance on biased datasets and ethical dilemmas"""
arXIv2023,An Introduction to Natural Language Processing Techniques and Framework for Clinical Implementation in Radiation Oncology,Yes.,4,"""However, these LLMs are prone to many errors such as hallucinations, biases, and ethical violations, which necessitate rigorous evaluation and validation before clinical deployment.""",2023,2023-11-03T19:32:35Z,"Keyphrase: ""Error hallucination and ethical violations"""
arXIv2023,The Alignment Problem in Context,Yes.,5,"""large language models remain vulnerable to adversarial attacks that can reliably elicit unsafe behaviour"" and ""the alignment problem is not only unsolved for current AI systems, but may be intrinsically difficult to solve without severely undermining their capabilities.""",2023,2023-11-03T17:57:55Z,"Keyphrase: ""Vulnerability to adversarial attacks"""
arXIv2023,Hint-enhanced In-Context Learning wakes Large Language Models up for knowledge-intensive tasks,Yes.,4,"""However, under the standard ICL setting, LLMs may sometimes neglect query-related information in demonstrations, leading to incorrect predictions.""",2023,2023-11-03T14:39:20Z,"Keyphrase: ""Neglect of query-related information"""
arXIv2023,Comprehensive Assessment of Toxicity in ChatGPT,Yes.,4,"""The emerging large language models (LLMs), such as ChatGPT, can potentially further accentuate this threat."" and ""Previous works have discovered that ChatGPT can generate toxic responses using carefully crafted inputs.""",2023,2023-11-03T14:37:53Z,"Keyphrase: ""Generation of toxic responses"""
arXIv2023,PPTC Benchmark: Evaluating Large Language Models for PowerPoint Task Completion,Yes.,5,"""The results show that GPT-4 outperforms other LLMs with 75.1% accuracy in single-turn dialogue testing but faces challenges in completing entire sessions, achieving just 6% session accuracy. We find three main error causes in our benchmark",2023,2023-11-03T08:06:35Z,"Keyphrase: ""Limited multi-turn dialogue capabilities"""
arXIv2023,FinGPT: Large Generative Models for a Small Language,Yes.,4,"""LLM work tends to focus on languages where nearly unlimited data is available for pretraining.""",2023,2023-11-03T08:05:04Z,"Keyphrase: ""Limited focus on language diversity"""
arXIv2023,Proto-lm: A Prototypical Network-Based Framework for Built-in Interpretability in Large Language Models,Yes.,4,"""Large Language Models (LLMs) have significantly advanced the field of Natural Language Processing (NLP), but their lack of interpretability has been a major concern. Current methods for interpreting LLMs are post hoc, applied after inference time, and have limitations such",2023,2023-11-03T05:55:32Z,"Keyphrase: ""Lack of interpretability"""
arXIv2023,Successor Features for Efficient Multisubject Controlled Text Generation,Yes.,5,"""While large language models (LLMs) have achieved impressive performance in generating fluent and realistic text, controlling the generated text so that it exhibits properties such as safety, factuality, and non-toxicity remains challenging.""",2023,2023-11-03T00:17:08Z,"Keyphrase: ""Challenges in safety and factuality"""
arXIv2023,Preserving the knowledge of long clinical texts using aggregated ensembles of large language models,Yes.,4,"""applying large language models, such as BERT-based models, to clinical texts poses two major challenges",2023,2023-11-02T19:50:02Z,"Keyphrase: ""Challenges in clinical text"""
arXIv2023,"The Effect of Scaling, Retrieval Augmentation and Form on the Factual Consistency of Language Models",Yes.,5,"""Large Language Models (LLMs) make natural interfaces to factual knowledge, but their usefulness is limited by their tendency to deliver inconsistent answers to semantically equivalent questions.""",2023,2023-11-02T15:20:11Z,"Keyphrase: ""Inconsistent factual knowledge"""
arXIv2023,FlashDecoding++: Faster Large Language Model Inference on GPUs,Yes.,5,"""However, the following challenges still remain unsolved in accelerating LLM inference",2023,2023-11-02T14:57:03Z,"Keyphrase: ""Unsolved challenges in accelerating LLM inference"""
arXIv2023,Revisiting the Knowledge Injection Frameworks,Yes.,4,"""However, how to adapt these LLMs to better suit the vertical domain-specific tasks by utilizing external knowledge remains not completely solved."" and ""we identify a pivotal problem in this work ubiquitously. Simply put, we find that injecting unaligned (i.e., random) knowledge tuple into the LLMs achieves comparable (and sometimes better) results than the aligned knowledge being injected.""",2023,2023-11-02T11:18:16Z,"Keyphrase: ""Challenges in adapting to vertical domains"""
arXIv2023,Learn to Refuse: Making Large Language Models More Controllable and Reliable through Knowledge Scope Limitation and Refusal Mechanism,Yes.,5,"""these models are not flawless and often produce responses that contain errors or misinformation. These inaccuracies, commonly referred to as hallucinations, render LLMs unreliable and even unusable in many scenarios.""",2023,2023-11-02T07:20:49Z,"Keyphrase: ""Error-prone hallucination"""
