Source ,Title,Talks about LLMs,Rate,Evidence,Year ,Date ,Keyphrase
arXIv2023,Reasoning or Reciting? Exploring the Capabilities and Limitations of Language Models Through Counterfactual Tasks,Yes.,5,"""we observe nontrivial performance on the counterfactual variants, but nevertheless find that performance substantially and consistently degrades compared to the default conditions. This suggests that while current LMs may possess abstract task-solving skills to an extent, they often also rely on narrow",2023,2023-07-05T17:50:42Z,"Keyphrase: ""Limited abstract task-solving skills"""
arXIv2023,External Reasoning: Towards Multi-Large-Language-Models Interchangeable Assistance with Human Feedback,Yes.,5,"""they are inhibited by constraints on context length that preclude the processing of extensive, continually evolving knowledge bases.""",2023,2023-07-05T17:05:32Z,"Keyphrase: ""Limited contextual knowledge processing"""
arXIv2023,ProPILE: Probing Privacy Leakage in Large Language Models,Yes.,4,"""The rapid advancement and widespread use of large language models (LLMs) have raised significant concerns regarding the potential leakage of personally identifiable information (PII).""",2023,2023-07-04T18:53:47Z,"Keyphrase: ""Privacy concerns"""
arXIv2023,Learning to Prompt in the Classroom to Understand AI Limits: A pilot study,Yes.,5,"""ignoring their limitations such as hallucinations and reasoning constraints"" and ""better grasp of limitations, specifically unreliability, limited understanding of commands leading to unsatisfactory responses, and limited presentation flexibility.""",2023,2023-07-04T07:51:37Z,"Keyphrase: ""Limited reasoning and understanding"""
arXIv2023,CARE-MI: Chinese Benchmark for Misinformation Evaluation in Maternity and Infant Care,Yes.,4,"""they suffer from the misinformation problem by unintentionally generating factually false statements"" and ""current Chinese LLMs are far from perfect in the topic of maternity and infant care.""",2023,2023-07-04T03:34:19Z,"Keyphrase: ""Misinformation generation"""
arXIv2023,Shifting Attention to Relevance: Towards the Uncertainty Estimation of Large Language Models,Yes.,5,"""a persistent challenge lies in their susceptibility to 'hallucinations', which erodes trust in their outputs"" and ""existing methodologies treat all tokens with equal importance when estimating uncertainty, disregarding these inherent generative inequalities.""",2023,2023-07-03T22:17:16Z,"Keyphrase: ""Susceptibility to hallucination"""
arXIv2023,Multilingual Language Models are not Multicultural: A Case Study in Emotion,Yes.,5,"""Our results show that multilingual LMs do not successfully learn the culturally appropriate nuances of emotion and we highlight possible research directions towards correcting this.""",2023,2023-07-03T21:54:28Z,"Keyphrase: ""Limited cultural nuance understanding"""
arXIv2023,Challenges in Domain-Specific Abstractive Summarization and How to Overcome them,Yes.,5,"""This paper identifies three of those limitations as research problems in the context of abstractive text summarization",2023,2023-07-03T12:26:44Z,"Keyphrase: ""Limitations in abstractive text summarization"""
arxiv2024,A Study on Large Language Models' Limitations in Multiple-Choice Question Answering,Yes.,5,"""Despite their ubiquitous use, there is no systematic analysis of their specific capabilities and limitations."" and ""We analyze 26 small open-source models and find that 65% of the models do not understand the task, only 4 models properly select an answer from the given choices, and only 5 of these models are choice order independent.""",2024,2024-01-01T00:00:00Z,"Keyphrase: ""Limited task understanding"""
arxiv2024,The Dawn After the Dark: An Empirical Study on Factuality Hallucination in Large Language Models,Yes.,5,"""hallucination (i.e., the tendency to generate factually incorrect content) poses great challenge to trustworthy and reliable deployment of LLMs in real-world applications"" and ""To tackle the LLM hallucination, three key questions should be well studied",2024,2024-01-01T00:00:00Z,"Keyphrase: ""Hallucination of factually incorrect content"""
