Source ,Title,Talks about LLMs,Rate,Evidence,Year ,Date ,Keyphrase
arXIv2023,Differentially Private Attention Computation,Yes.,4,"""one crucial issue concerning the inference results of large language models is security and privacy"" and ""results generated by LLMs could possibly leak many confidential or copyright information.""",2023,2023-05-08T13:32:41Z,"Keyphrase: ""Security and privacy concerns"""
arXIv2023,Language Models Don't Always Say What They Think: Unfaithful Explanations in Chain-of-Thought Prompting,Yes.,5,"""However, we find that CoT explanations can systematically misrepresent the true reason for a model's prediction."" and ""Our findings indicate that CoT explanations can be plausible yet misleading, which risks increasing our trust in LLMs without guaranteeing their safety.""",2023,2023-05-07T22:44:25Z,"Keyphrase: ""Misleading explanations"""
arXIv2023,Artificial Neuropsychology: Are Large Language Models Developing Executive Functions?,Yes.,4,"""However, these abilities are quite limited and worse than well-trained humans when the tasks are not known and are not part of the training data.""",2023,2023-05-06T20:53:22Z,"Keyphrase: ""Limited human task performance"""
arXIv2023,Plan-and-Solve Prompting: Improving Zero-Shot Chain-of-Thought Reasoning by Large Language Models,Yes.,5,"""Despite the success of Zero-shot-CoT, it still suffers from three pitfalls",2023,2023-05-06T16:34:37Z,"Keyphrase: ""Limitations in zero-shot capability"""
arXIv2023,Pre-training Language Model as a Multi-perspective Course Learner,Yes.,4,"""Despite the convincing performance, ELECTRA still faces the challenges of monotonous training and deficient interaction. Generator with only masked language modeling (MLM) leads to biased learning and label imbalance for discriminator, decreasing learning efficiency; no explicit feedback loop from discriminator to generator results in the chasm between these two components, underutilizing the course learning.""",2023,2023-05-06T09:02:10Z,"Keyphrase: ""Biased learning and label imbalance"""
arXIv2023,"Large Language Models in Sport Science & Medicine: Opportunities, Risks and Considerations",Yes.,4,"""However, there are also potential risks associated with the use and development of LLMs, including biases in the dataset used to create the model, the risk of exposing confidential data, the risk of generating harmful output, and the need to align these models with human preferences through feedback.""",2023,2023-05-05T21:20:02Z,"Keyphrase: ""Risk of bias and harmful output"""
arXIv2023,Vera: A General-Purpose Plausibility Estimation Model for Commonsense Statements,Yes.,4,"""Despite the much discussed capabilities of today's language models, they are still prone to silly and unexpected commonsense failures.""",2023,2023-05-05T17:15:32Z,"Keyphrase: ""Commonsense failures"""
arXIv2023,Improved Logical Reasoning of Language Models via Differentiable Symbolic Programming,Yes.,5,"""Pre-trained large language models (LMs) struggle to perform logical reasoning reliably despite advances in scale and compositionality.""",2023,2023-05-05T07:24:46Z,"Keyphrase: ""Limited logical reasoning"""
arXIv2023,Verify-and-Edit: A Knowledge-Enhanced Chain-of-Thought Framework,Yes.,5,"""one of its most fatal disadvantages is the lack of factual correctness"" and ""still suffers from factuality concerns in knowledge-intensive tasks.""",2023,2023-05-05T03:49:14Z,"Keyphrase: ""Factual correctness deficiency"""
arXIv2023,Can LLM Already Serve as A Database Interface? A BIg Bench for Large-Scale Database Grounded Text-to-SQLs,Yes.,5,"""even the most effective text-to-SQL models, i.e. ChatGPT, only achieves 40.08% in execution accuracy, which is still far from the human result of 92.96%, proving that challenges still stand.""",2023,2023-05-04T19:02:29Z,"Keyphrase: ""Limited execution accuracy"""
arXIv2023,Principle-Driven Self-Alignment of Language Models from Scratch with Minimal Human Supervision,Yes.,4,"""However, this dependence can significantly constrain the true potential of AI-assistant agents due to the high cost of obtaining human supervision and the related issues on quality, reliability, diversity, self-consistency, and undesirable biases.""",2023,2023-05-04T17:59:28Z,"Keyphrase: ""Dependence on human supervision"""
