Title,Talks about LLMs,Rate,Evidence,Published
$Se^2$: Sequential Example Selection for In-Context Learning,Yes.,3.,"""such approaches often neglect the internal relationships between examples and exist an inconsistency between the training and inference.""",2024-02-21T15:35:04Z
An Explainable Transformer-based Model for Phishing Email Detection: A Large Language Model Approach,Yes.,1.,"""Large Language Models (LLMs) and Masked Language Models (MLMs) possess immense potential to offer innovative solutions to address long-standing challenges.""",2024-02-21T15:23:21Z
Kuaiji: the First Chinese Accounting Large Language Model,Yes.,3.,"""Large Language Models (LLMs) like ChatGPT and GPT-4 have demonstrated impressive proficiency in comprehending and generating natural language. However, they encounter difficulties when tasked with adapting to specialized domains such as accounting.""",2024-02-21T15:14:20Z
Semantic Mirror Jailbreak: Genetic Algorithm Based Jailbreak Prompts Against Open-source LLMs,Yes.,5.,"""Large Language Models (LLMs)... are vulnerable to jailbreak attacks, where crafted prompts induce harmful outputs."" and ""existing jailbreak prompt designs generally suffer from excessive semantic differences, resulting in an inability to resist defenses that use simple semantic metrics as thresholds.""",2024-02-21T15:13:50Z
Large Language Models are Advanced Anonymizers,Yes.,2.,"""existing text anonymization methods are currently lacking behind regulatory requirements and adversarial threats.""",2024-02-21T14:44:00Z
LLM4SBR: A Lightweight and Effective Framework for Integrating Large Language Models in Session-based Recommendation,Yes.,2.,"""However, constrained by high time and space costs, as well as the brief and anonymous nature of session data, the first LLM recommendation framework suitable for industrial deployment has yet to emerge in the field of SBR.""",2024-02-21T14:38:02Z
Beyond Hate Speech: NLP's Challenges and Opportunities in Uncovering Dehumanizing Language,Yes.,4.,"""Our findings reveal that while these models demonstrate potential, achieving a 70% accuracy rate in distinguishing dehumanizing language from broader hate speech, they also display biases. They are over-sensitive in classifying other forms of hate speech as dehumanization for a specific subset of target groups, while more frequently failing to identify clear cases of dehumanization for other target groups.""",2024-02-21T13:57:36Z
LLM Based Multi-Agent Generation of Semi-structured Documents from Semantic Templates in the Public Administration Domain,Yes.,1.,"""The recent introduction of Large Language Models (LLMs) has enabled the creation of customized text output satisfying user requests.""",2024-02-21T13:54:53Z
CriticBench: Evaluating Large Language Models as Critic,Yes.,2.,"""how to comprehensively and reliably measure the critique abilities of LLMs is under-explored.""",2024-02-21T12:38:59Z
Factual Consistency Evaluation of Summarisation in the Era of Large Language Models,Yes.,4.,"""Our findings reveal that despite proprietary models prevailing on the task, open-source LLMs lag behind."" and ""Experiments on TreatFact suggest that both previous methods and LLM-based evaluators are unable to capture factual inconsistencies in clinical summaries, posing a new challenge for FC evaluation.""",2024-02-21T12:35:19Z
LongRoPE: Extending LLM Context Window Beyond 2 Million Tokens,Yes.,5.,"""due to high fine-tuning costs, scarcity of long texts, and catastrophic values introduced by new token positions, current extended context windows are limited to around 128k tokens.""",2024-02-21T12:30:33Z
Breaking the Barrier: Utilizing Large Language Models for Industrial Recommendation Systems through an Inferential Knowledge Graph,Yes.,1.,"""In summary, LLM-KERec addresses the limitations of traditional recommendation systems by incorporating complementary knowledge and utilizing a large language model to capture user intent transitions, adapt to new items, and enhance recommendation efficiency in the evolving e-commerce landscape.""",2024-02-21T12:22:01Z
Unlocking Instructive In-Context Learning with Tabular Prompting for Relational Triple Extraction,Yes.,3.,"""Existing methods, however, fail to address these challenges appropriately. On the one hand, they usually recast RTE task to text-to-text prompting formats, which is unnatural and results in a mismatch between the output format at the pre-training time and the inference time for large language models (LLMs).""",2024-02-21T12:12:16Z
From Text to CQL: Bridging Natural Language and Corpus Search Engine,Yes.,1.,"""This paper presents the first text-to-CQL task that aims to automate the translation of natural language into CQL. We present a comprehensive framework for this task, including a specifically curated large-scale dataset and methodologies leveraging large language models (LLMs) for effective text-to-CQL task.""",2024-02-21T12:11:28Z
Ouroboros: Speculative Decoding with Large Model Enhanced Drafting,Yes.,3.,"""Suffering from the high verification failure probability, existing decoding methods cannot draft too much content for verification at one time, achieving sub-optimal inference acceleration.""",2024-02-21T11:31:28Z
$\infty$Bench: Extending Long Context Evaluation Beyond 100K Tokens,Yes.,5.,"""The results indicate that existing long context LLMs still require significant advancements to effectively process 100K+ context.""",2024-02-21T11:30:29Z
Neeko: Leveraging Dynamic LoRA for Efficient Multi-Character Role-Playing Agent,Yes.,3.,"""Large Language Models (LLMs) have revolutionized open-domain dialogue agents but encounter challenges in multi-character role-playing (MCRP) scenarios.""",2024-02-21T11:30:20Z
An Evaluation of Large Language Models in Bioinformatics Research,Yes.,3.,"""In addition, we provide a thorough analysis of their limitations in the context of complicated bioinformatics tasks.""",2024-02-21T11:27:31Z
SaGE: Evaluating Moral Consistency in Large Language Models,Yes.,5.,"""we show that even state-of-the-art LLMs are morally inconsistent in their generations, questioning their reliability (and trustworthiness in general)."" and ""Our results reveal that task-accuracy and consistency are independent problems, and there is a dire need to investigate these issues further.""",2024-02-21T11:23:21Z
Investigating Multilingual Instruction-Tuning: Do Polyglot Models Demand for Multilingual Instructions?,Yes.,1.,"""The adaption of multilingual pre-trained Large Language Models (LLMs) into eloquent and helpful assistants is essential to facilitate their use across different language regions.""",2024-02-21T11:07:07Z
KInIT at SemEval-2024 Task 8: Fine-tuned LLMs for Multilingual Machine-Generated Text Detection,Yes.,1.,"""Such a detection is important for preventing a potential misuse of large language models (LLMs), the newest of which are very capable in generating multilingual human-like texts.""",2024-02-21T10:09:56Z
Self-Distillation Bridges Distribution Gap in Language Model Fine-Tuning,Yes.,3.,"""fine-tuning them for specific tasks often encounters challenges in balancing performance and preserving general instruction-following abilities"" and ""the distribution gap between task datasets and the LLMs serves as the primary underlying cause.""",2024-02-21T10:06:08Z
GCOF: Self-iterative Text Generation for Copywriting Using Large Language Model,Yes.,3.,"""Large language models(LLM) such as ChatGPT have substantially simplified the generation of marketing copy, yet producing content satisfying domain specific requirements, such as effectively engaging customers, remains a significant challenge.""",2024-02-21T09:59:20Z
Privacy-Preserving Instructions for Aligning Large Language Models,Yes.,3.,"""These instructions, which potentially contain sensitive information, are annotated by human workers in the process. This poses a new privacy risk not addressed by the typical private optimization.""",2024-02-21T09:45:08Z
Unsupervised Text Style Transfer via LLMs and Attention Masking with Multi-way Interactions,Yes.,3.,"""Among existing methods for UTST tasks, attention masking approach and Large Language Models (LLMs) are deemed as two pioneering methods. However, they have shortcomings in generating unsmooth sentences and changing the original contents, respectively.""",2024-02-21T09:28:02Z
UniGraph: Learning a Cross-Domain Graph Foundation Model From Natural Language,Yes.,1.,"""Foundation models like ChatGPT and GPT-4 have revolutionized artificial intelligence, exhibiting remarkable abilities to generalize across a wide array of tasks and applications beyond their initial training objectives.""",2024-02-21T09:06:31Z
FLAME: Self-Supervised Low-Resource Taxonomy Expansion using Large Language Models,Yes.,2.,"""Furthermore, we elucidate the strengths and weaknesses of FLAME through an extensive case study, error analysis and ablation studies on the benchmarks.""",2024-02-21T08:50:40Z
Data-driven Discovery with Large Generative Models,,,,2024-02-21T08:26:43Z
CODIS: Benchmarking Context-Dependent Visual Comprehension for Multimodal Large Language Models,Yes.,5.,"""Our findings indicate that MLLMs consistently fall short of human performance on this benchmark. Further analysis confirms that these models struggle to effectively extract and utilize contextual information to improve their understanding of images.""",2024-02-21T08:21:12Z
A Comprehensive Study of Multilingual Confidence Estimation on Large Language Models,Yes.,5.,"""The tendency of Large Language Models to generate hallucinations and exhibit overconfidence in predictions raises concerns regarding their reliability.""",2024-02-21T08:20:06Z
KorNAT: LLM Alignment Benchmark for Korean Social Values and Common Knowledge,Yes.,3.,"""The experiment results of seven LLMs reveal that only a few models met our reference score, indicating a potential for further enhancement.""",2024-02-21T08:12:26Z
Hybrid Reasoning Based on Large Language Models for Autonomous Car Driving,Yes.,2.,"""However, their ability to generalize this advanced reasoning with a combination of natural language text for decision-making in dynamic situations requires further exploration.""",2024-02-21T08:09:05Z
User-LLM: Efficient LLM Contextualization with User Embeddings,Yes.,2.,"""effectively incorporating complex and potentially noisy user interaction data remains a challenge.""",2024-02-21T08:03:27Z
Knowledge Graph Enhanced Large Language Model Editing,Yes.,3.,"""Large language models (LLMs) are pivotal in advancing natural language processing (NLP) tasks, yet their efficacy is hampered by inaccuracies and outdated knowledge.""",2024-02-21T07:52:26Z
APTQ: Attention-aware Post-Training Mixed-Precision Quantization for Large Language Models,Yes.,2.,"""the high computational load and huge model sizes pose a grand challenge for deployment on edge devices.""",2024-02-21T07:45:22Z
A Multimodal In-Context Tuning Approach for E-Commerce Product Description Generation,Yes.,3.,"""However, the generated description is often inaccurate and generic since same-category products have similar copy-writings, and optimizing the overall framework on large-scale samples makes models concentrate on common words yet ignore the product features.""",2024-02-21T07:38:29Z
WinoViz: Probing Visual Properties of Objects Under Different States,Yes.,3.,"""Large language models such as GPT-4 demonstrate effective performance, but when it comes to multi-hop data, their performance is significantly degraded."" and ""Large models perform well on pragmatic reasoning, but visual knowledge reasoning is a bottleneck in our task.""",2024-02-21T07:31:47Z
BBA: Bi-Modal Behavioral Alignment for Reasoning with Large Vision-Language Models,Yes.,3.,"""the vanilla Chain-of-Thought (CoT) prompting method faces challenges in effectively leveraging the unique strengths of visual and DSL representations, primarily due to their differing reasoning mechanisms. Additionally, it often falls short in addressing critical steps in multi-step reasoning tasks.""",2024-02-21T07:16:29Z
DyVal 2: Dynamic Evaluation of Large Language Models by Meta Probing Agents,,,,2024-02-21T06:46:34Z
Cognitive Visual-Language Mapper: Advancing Multimodal Comprehension with Enhanced Visual Knowledge Alignment,Yes.,2.,"""we observe that widely-used visual-language projection approaches (e.g., Q-former or MLP) focus on the alignment of image-text descriptions yet ignore the visual knowledge-dimension alignment,"" and ""Ablation studies also verify the effectiveness of VKA and FKA,",2024-02-21T06:34:46Z
Are LLMs Effective Negotiators? Systematic Evaluation of the Multifaceted Capabilities of LLMs in Negotiation Dialogues,Yes.,5.,"""Our analysis adds to the increasing evidence for the superiority of GPT-4 across various tasks while also providing insights into specific tasks that remain difficult for LLMs. For instance, the models correlate poorly with human players when making subjective assessments about the negotiation dialogues and often struggle to generate responses that are contextually appropriate as well as strategically advantageous.""",2024-02-21T06:11:03Z
ActiveRAG: Revealing the Treasures of Knowledge via Active Learning,Yes.,3.,"""current RAG models position LLMs as passive knowledge receptors, thereby restricting their capacity for learning and comprehending external knowledge.""",2024-02-21T06:04:53Z
LLMs Meet Long Video: Advancing Long Video Comprehension with An Interactive Visual Adapter in LLMs,Yes.,5.,"""this approach incurs high computational costs due to the extensive array of video tokens, experiences reduced visual clarity as a consequence of token aggregation, and confronts challenges arising from irrelevant visual tokens while answering video-related questions.""",2024-02-21T05:56:52Z
ARL2: Aligning Retrievers for Black-box Large Language Models via Self-guided Adaptive Relevance Labeling,Yes.,3.,"""existing retrievers are often misaligned with LLMs due to their separate training processes and the black-box nature of LLMs.""",2024-02-21T05:41:34Z
Exploring the Limits of Semantic Image Compression at Micro-bits per Pixel,Yes.,2.,"""we use GPT-4V and DALL-E3 from OpenAI to explore the quality-compression frontier for image compression and identify the limitations of current technology.""",2024-02-21T05:14:30Z
FinGPT-HPC: Efficient Pretraining and Finetuning Large Language Models for Financial Applications with High-Performance Computing,Yes.,5.,"""Large language models (LLMs) are computationally intensive. The computation workload and the memory footprint grow quadratically with the dimension (layer width). Most of LLMs' parameters come from the linear layers of the transformer structure and are highly redundant. These linear layers contribute more than 80% of the computation workload and 99% of the model size. To pretrain and",2024-02-21T05:03:17Z
OMGEval: An Open Multilingual Generative Evaluation Benchmark for Large Language Models,Yes.,2.,"""Modern large language models (LLMs) should generally benefit individuals from various cultural backgrounds around the world. However, most recent advanced generative evaluation benchmarks tailed for LLMs mainly focus on English.""",2024-02-21T04:42:41Z
AgentScope: A Flexible yet Robust Multi-Agent Platform,Yes.,3.,"""However, the complexities in coordinating agents' cooperation and LLMs' erratic performance pose notable challenges in developing robust and efficient multi-agent applications.""",2024-02-21T04:11:28Z
RITFIS: Robust input testing framework for LLMs-based intelligent software,Yes.,4.,"""existing methods generally have limitations, especially when dealing with lengthy texts and structurally complex threat models.""",2024-02-21T04:00:54Z
Round Trip Translation Defence against Large Language Model Jailbreaking Attacks,Yes.,4.,"""Large language models (LLMs) are susceptible to social-engineered attacks that are human-interpretable but require a high level of comprehension for LLMs to counteract. Existing defensive measures can only mitigate less than half of these attacks at most.""",2024-02-21T03:59:52Z
ProSparse: Introducing and Enhancing Intrinsic Activation Sparsity within Large Language Models,Yes.,1.,"""Nevertheless, most large language models (LLMs) adopt activation functions without intrinsic activation sparsity (e.g., GELU and Swish).""",2024-02-21T03:58:49Z
