Title,Talks about LLMs,Rate,Evidence,Published
Efficiently Adapting Pretrained Language Models To New Languages,Yes.,4.,"""Recent large language models (LLM) exhibit sub-optimal performance on low-resource languages, as the training data of these models is usually dominated by English and other high-resource languages."" and ""naively adapting to new languages leads to catastrophic forgetting and poor tokenizer efficiency.""",2023-11-09T20:59:08Z
Long-Horizon Dialogue Understanding for Role Identification in the Game of Avalon with Large Language Models,Yes.,5.,"""Such complex tasks pose challenges for current Large Language Models (LLM) as deception and persuasion can easily mislead them, especially in long-horizon multi-party dialogues."" and ""We find that even current state-of-the-art LLMs do not reach human performance, making our dataset",2023-11-09T20:04:08Z
Conversational AI Threads for Visualizing Multidimensional Datasets,Yes.,3.,"""We surfaced the strengths and weaknesses of LLM-driven analytic chatbots, finding that they fell short in supporting progressive visualization refinements.""",2023-11-09T18:47:46Z
Zero-Shot Goal-Directed Dialogue via RL on Imagined Conversations,Yes.,3.,"""LLMs trained with supervised fine-tuning or 'single-step' RL, as with standard RLHF, might struggle which tasks that require such goal-directed behavior, since they are not trained to optimize for overall conversational outcomes after multiple turns of interaction.""",2023-11-09T18:45:16Z
Removing RLHF Protections in GPT-4 via Fine-Tuning,Yes.,5.,"""fine-tuning can remove RLHF protections"" and ""Our results show the need for further research on protections on LLMs.""",2023-11-09T17:54:59Z
Technical Report: Large Language Models can Strategically Deceive their Users when Put Under Pressure,Yes.,5.,"""Large Language Models, trained to be helpful, harmless, and honest, can display misaligned behavior and strategically deceive their users about this behavior without being instructed to do so.""",2023-11-09T17:12:44Z
Do personality tests generalize to Large Language Models?,Yes.,5.,"""LLMs' responses to personality tests systematically deviate from typical human responses,"" and ""reverse-coded items (e.g. 'I am introverted' vs 'I am extraverted') are often both answered affirmatively by LLMs,"" and ""variation across different prompts designed to 'steer' LLMs to simulate particular personality types does not follow the clear separation",2023-11-09T11:54:01Z
BeLLM: Backward Dependency Enhanced Large Language Model for Sentence Embeddings,Yes.,3.,"""Existing LLMs mainly adopted autoregressive architecture without explicit backward dependency modeling.""",2023-11-09T11:53:52Z
Chain of Images for Intuitively Reasoning,Yes.,3.,"""current Large Language Models (LLMs) do not utilize such visual intuition to help their thinking. Even the most advanced version language models (e.g., GPT-4V and LLaVA) merely align images into textual space, which means their reasoning processes remain purely verbal.""",2023-11-09T11:14:51Z
"A Survey on Hallucination in Large Language Models: Principles, Taxonomy, Challenges, and Open Questions",Yes.,5.,"""LLMs exhibit a critical tendency to produce hallucinations, resulting in content that is inconsistent with real-world facts or user inputs."" and ""This phenomenon poses substantial challenges to their practical deployment and raises concerns over the reliability of LLMs in real-world scenarios.""",2023-11-09T09:25:37Z
