Title,Talks about LLMs,Rate,Evidence,Published
Fairness in Serving Large Language Models,,,,2023-12-31T21:15:54Z
HSC-GPT: A Large Language Model for Human Settlements Construction,Yes.,2.,"""These factors lead to limitations when applying general generative AI in this field, further exacerbated by a lack of high-quality data for model training.""",2023-12-31T13:56:15Z
BatchEval: Towards Human-like Text Evaluation,Yes.,3.,"""current sample-wise evaluation paradigm suffers from the following issues",2023-12-31T09:34:51Z
RAGTruth: A Hallucination Corpus for Developing Trustworthy Retrieval-Augmented Language Models,Yes.,4.,"""Despite the integration of RAG, LLMs may still present unsupported or contradictory claims to the retrieved contents.""",2023-12-31T04:43:45Z
The Art of Defending: A Systematic Evaluation and Analysis of LLM Defense Strategies on Safety and Over-Defensiveness,Yes.,5.,"""reveals several interesting and important findings, such as (a) the widely popular 'self-checking' techniques indeed improve the safety against unsafe inputs, but this comes at the cost of extreme over-defensiveness on the safe inputs, (b) providing a safety instruction along with in-context exemplars (of both safe and unsafe inputs) consistently improves safety and also mitigates undue",2023-12-30T17:37:06Z
Advancing TTP Analysis: Harnessing the Power of Encoder-Only and Decoder-Only Language Models with Retrieval Augmented Generation,Yes.,5.,"""The state-of-the-art LLMs have shown to be prone to hallucination by providing inaccurate information, which is problematic in critical domains like cybersecurity."" and ""Our results reveal that both the direct-use of decoder-only LLMs (i",2023-12-30T16:56:24Z
Uncertainty-Penalized Reinforcement Learning from Human Feedback with Diverse Reward LoRA Ensembles,Yes.,3.,"""However, a notable challenge in RLHF is overoptimization, where beyond a certain threshold, the pursuit of higher rewards leads to a decline in human preferences.""",2023-12-30T14:14:14Z
Is Knowledge All Large Language Models Needed for Causal Reasoning?,Yes.,3.,"""On the contrary, in the absence of knowledge, LLMs still maintain a degree of causal reasoning using the available numerical data, albeit with limitations in the calculations.""",2023-12-30T04:51:46Z
Teach Large Language Models to Forget Privacy,Yes.,4.,"""Large Language Models (LLMs) have proven powerful, but the risk of privacy leakage remains a significant concern.""",2023-12-30T01:26:42Z
ChatEd: A Chatbot Leveraging ChatGPT for an Enhanced Learning Experience in Higher Education,Yes.,3.,"""the possibility of generating incorrect, biased, or unhelpful answers are a key challenge to resolve when deploying LLMs in an education context.""",2023-12-29T19:11:55Z
Principled Gradient-based Markov Chain Monte Carlo for Text Generation,Yes.,5.,"""previous attempts on this approach to text generation all fail to sample correctly from the target language model distributions.""",2023-12-29T18:00:56Z
Jatmo: Prompt Injection Defense by Task-Specific Finetuning,Yes.,5.,"""LLMs are vulnerable to prompt-injection attacks",2023-12-29T16:37:53Z
Gemini in Reasoning: Unveiling Commonsense in Multimodal Large Language Models,Yes.,4.,"""preliminary benchmarks indicate that Gemini lags behind GPT models in commonsense reasoning tasks"" and ""we identify common challenges faced by current LLMs and MLLMs in addressing commonsense problems, underscoring the need for further advancements in enhancing the commonsense reasoning abilities of these models.""",2023-12-29T15:57:49Z
Enhancing Quantitative Reasoning Skills of Large Language Models through Dimension Perception,Yes.,5.,"""However, the lack of dimension knowledge and quantity-related benchmarks has resulted in low performance of LLMs.""",2023-12-29T09:29:37Z
Differentially Private Low-Rank Adaptation of Large Language Model Using Federated Learning,Yes.,3.,"""1) despite avoiding raw data exposure, there is a risk of inferring sensitive information from model outputs, and 2) federated learning for LLMs incurs notable communication overhead.""",2023-12-29T06:50:38Z
Exploring the Sensitivity of LLMs' Decision-Making Capabilities: Insights from Prompt Variation and Hyperparameters,Yes.,3.,"""these studies have not always properly accounted for the sensitivity of LLMs' behavior to hyperparameters and variations in the prompt.""",2023-12-29T05:19:11Z
LISA++: An Improved Baseline for Reasoning Segmentation with Large Language Model,Yes.,3.,"""While LISA effectively bridges the gap between segmentation and large language models to enable reasoning segmentation, it poses certain limitations",2023-12-28T18:58:33Z
Fast Inference of Mixture-of-Experts Language Models with Offloading,Yes.,2.,"""Unfortunately, this makes state-of-the-art MoE language models difficult to run without high-end GPUs.""",2023-12-28T18:58:13Z
Large Language Model for Causal Decision Making,Yes.,3.,"""However, their capability to inference based on user-specified structured data and knowledge in corpus-rare concepts like causal decision-making is still limited.""",2023-12-28T16:59:06Z
How Far Are We from Believable AI Agents? A Framework for Evaluating the Believability of Human Behavior Simulation,,,,2023-12-28T16:51:11Z
GitAgent: Facilitating Autonomous Agent with GitHub by Tool Extension,Yes.,3.,"""While Large Language Models (LLMs) like ChatGPT and GPT-4 have demonstrated exceptional proficiency in natural language processing, their efficacy in addressing complex, multifaceted tasks remains limited.""",2023-12-28T15:47:30Z
Experiential Co-Learning of Software-Developing Agents,Yes.,3.,"""However, these agents often approach a diverse range of tasks in isolation, without benefiting from past experiences. This isolation can lead to repeated mistakes and inefficient trials in task solving.""",2023-12-28T13:50:42Z
AI Content Self-Detection for Transformer-based Large Language Models,Yes.,3.,"""Existing plagiarism detection systems can trace the source of submitted text but are not yet equipped with methods to accurately detect AI-generated text."" and ""Results reveal varying capabilities of AI systems to identify their generated text.""",2023-12-28T10:08:57Z
Spike No More: Stabilizing the Pre-training of Large Language Models,Yes.,5.,"""Loss spikes often occur during pre-training of large language models. The spikes degrade the performance of large language models and sometimes ruin the pre-training.""",2023-12-28T08:53:27Z
Large Language Models for Conducting Advanced Text Analytics Information Systems Research,Yes.,2.,"""We also outline potential challenges and limitations in adopting LLMs for IS.""",2023-12-27T19:49:00Z
Make BERT-based Chinese Spelling Check Model Enhanced by Layerwise Attention and Gaussian Mixture Model,Yes.,3.,"""traditional BERT-based methods still suffer from two limitations. First, although previous works have identified that explicit prior knowledge like Part-Of-Speech (POS) tagging can benefit in the CSC task, they neglected the fact that spelling errors inherent in CSC data can lead to incorrect",2023-12-27T16:11:07Z
"Adapting Large Language Models for Education: Foundational Capabilities, Potentials, and Challenges",Yes.,3.,"""Although LLMs have been successful in various fields, creating an LLM-based education system is still challenging for the wide range of educational skills required."" and ""Finally, we explore the challenges and future directions, providing new research opportunities and perspectives on adapting LLMs for education.""",2023-12-27T14:37:32Z
