Title,Talks about LLMs,Rate,Evidence,Published
PhD: A Prompted Visual Hallucination Evaluation Dataset,Yes.,4.,"""The challenge of hallucination, prevalent in LLMs, also emerges in LVLMs."" and ""Extensive experiments on five SOTA LVLMs reveal their inability to effectively tackle our proposed IVL-Hallu tasks, with detailed analyses and insights on the origins and possible solutions of these new challenging IV",2024-03-17T06:53:44Z
ProgGen: Generating Named Entity Recognition Datasets Step-by-step with Self-Reflexive Large Language Models,Yes.,4.,"""Although Large Language Models (LLMs) exhibit remarkable adaptability across domains, these models often fall short in structured knowledge extraction tasks such as named entity recognition (NER).""",2024-03-17T06:12:43Z
m&m's: A Benchmark to Evaluate Tool-Use for multi-step multi-modal Tasks,Yes.,3.,"""the lack of standardized benchmarks for evaluating LLMs as planners for multi-step multi-modal tasks has prevented a systematic study of planner design decisions.""",2024-03-17T04:36:18Z
GOMA: Proactive Embodied Cooperative Communication via Goal-Oriented Mental Alignment,Yes.,5.,"""Our experimental results demonstrate that large language models struggle with generating meaningful communication that is grounded in the social and physical context.""",2024-03-17T03:52:52Z
Large Language Models Powered Context-aware Motion Prediction,Yes.,2.,"""considering the cost associated with LLMs, we propose a cost-effective deployment strategy.""",2024-03-17T02:06:49Z
Pre-Trained Language Models Represent Some Geographic Populations Better Than Others,Yes.,4.,"""Results show that these models perform much better for some populations than others. In particular, populations across the US and the UK are represented quite well while those in South and Southeast Asia are poorly represented.""",2024-03-16T22:01:39Z
SelfIE: Self-Interpretation of Large Language Model Embeddings,Yes.,3.,"""The ability to explain and control an LLM's reasoning process is key for reliability, transparency, and future model developments.""",2024-03-16T15:30:34Z
Human Centered AI for Indian Legal Text Analytics,Yes.,3.,"""Recent boom in generative AI has not translated to proportionate rise in impactful legal applications, because of low trustworthiness and the scarcity of specialized datasets for training Large Language Models (LLMs).""",2024-03-16T15:17:13Z
MIntRec2.0: A Large-scale Benchmark Dataset for Multimodal Intent Recognition and Out-of-scope Detection in Conversations,Yes.,5.,"""Notably, large language models exhibit a significant performance gap compared to humans, highlighting the limitations of machine learning methods in the cognitive intent understanding task.""",2024-03-16T15:14:15Z
Towards Robustness and Diversity: Continual Learning in Dialog Generation with Text-Mixup and Batch Nuclear-Norm Maximization,No.,1.,The abstract does not mention LLMs or their limitations.,2024-03-16T11:09:27Z
Optimizing Language Augmentation for Multilingual Large Language Models: A Case Study on Korean,Yes.,2.,"""their expansion requires significant computing resources"" and ""overlooking less-resourced languages (LRLs).""",2024-03-16T10:26:38Z
A Comprehensive Study of Multimodal Large Language Models for Image Quality Assessment,Yes.,5.,"""Experimental results show that only the close-source GPT-4V provides a reasonable account for human perception of image quality, but is weak at discriminating fine-grained quality variations (e.g., color differences) and at comparing visual quality of multiple images, tasks humans can perform effortlessly.""",2024-03-16T08:30:45Z
Two-step Automated Cybercrime Coded Word Detection using Multi-level Representation Learning,,,,2024-03-16T07:18:29Z
Do Large Language Models understand Medical Codes?,Yes.,5.,"""However, these models are also prone to producing 'hallucinations' or incorrect responses when faced with queries they cannot adequately address,"" and ""Our results indicate that these models as they currently stand do not comprehend the meaning of the medical codes, highlighting the need for better representation of these alphanumeric codes extensively used in healthcare.""",2024-03-16T06:18:15Z
Efficient Pruning of Large Language Model with Adaptive Estimation Fusion,Yes.,3.,"""Large language models (LLMs) have become crucial for many generative downstream tasks, leading to an inevitable trend and significant challenge to deploy them efficiently on resource-constrained devices.""",2024-03-16T04:12:50Z
From Words to Routes: Applying Large Language Models to Vehicle Routing,Yes.,3.,"""We find that the basic prompt paradigm, which generates code directly from natural language task descriptions, performs the best for GPT-4, achieving 56% feasibility, 40% optimality, and 53% efficiency."" and ""our proposed framework achieves a 16% increase in feasibility, a 7",2024-03-16T03:54:38Z
LLM-based Conversational AI Therapist for Daily Functioning Screening and Psychotherapeutic Intervention via Everyday Smart Devices,Yes.,3.,"""we experiment and microbenchmark various LLMs' performance in tasks along CaiTI's conversation flow and discuss their strengths and weaknesses.""",2024-03-16T02:48:50Z
Detecting Bias in Large Language Models: Fine-tuned KcBERT,Yes.,4.,"""they have the potential to generate subjective and normative language, leading to discriminatory treatment or outcomes among social groups, especially due to online offensive language.""",2024-03-16T02:27:19Z
