Title,Talks about LLMs,Rate,Evidence,Published
Still No Lie Detector for Language Models: Probing Empirical and Conceptual Roadblocks,Yes.,5.,"""We provide empirical results that show that these methods fail to generalize in very basic ways."" and ""We then argue that, even if LLMs have beliefs, these methods are unlikely to be successful for conceptual reasons.""",2023-06-30T23:44:51Z
Large Language Models (GPT) for automating feedback on programming assignments,Yes.,3.,"""This suggests potential over-reliance on GPT-generated feedback.""",2023-06-30T21:57:40Z
Meta-training with Demonstration Retrieval for Efficient Few-shot Learning,Yes.,3.,"""Large language models show impressive results on few-shot NLP tasks. However, these models are memory and computation-intensive.""",2023-06-30T20:16:22Z
Ticket-BERT: Labeling Incident Management Tickets with Language Models,Yes.,1.,"""To handle these issues, we introduce Ticket-BERT which trains a simple yet robust language model for labeling tickets using our proposed ticket datasets.""",2023-06-30T19:48:25Z
Queer People are People First: Deconstructing Sexual Identity Stereotypes in Large Language Models,Yes.,4.,"""Consequently, text generated by LLMs can inadvertently perpetuate stereotypes towards marginalized groups, like the LGBTQIA+ community.""",2023-06-30T19:39:01Z
Meta-Reasoning: Semantics-Symbol Deconstruction for Large Language Models,,,,2023-06-30T17:38:10Z
Biomedical Language Models are Robust to Sub-optimal Tokenization,Yes.,3.,"""Surprisingly, we find that pre-training a biomedical LM using a more accurate biomedical tokenizer does not improve the entity representation quality of a language model as measured by several intrinsic and extrinsic measures such as masked language modeling prediction (MLM) accuracy as well as NER and entity linking performance.""",2023-06-30T13:35:24Z
Large Language Models are Effective Text Rankers with Pairwise Ranking Prompting,Yes.,3.,"""we argue that off-the-shelf LLMs do not fully understand these challenging ranking formulations.""",2023-06-30T11:32:25Z
Preference Ranking Optimization for Human Alignment,Yes.,4.,"""Large language models (LLMs) often contain misleading content, emphasizing the need to align them with human values to ensure secure AI systems. Reinforcement learning from human feedback (RLHF) has been employed to achieve this alignment. However, it encompasses two main drawbacks",2023-06-30T09:07:37Z
Provable Robust Watermarking for AI-Generated Text,Yes.,1.,"""We study the problem of watermarking large language models (LLMs) generated text -- one of the most promising approaches for addressing the safety challenges of LLM usage.""",2023-06-30T07:24:32Z
LMBot: Distilling Graph Knowledge into Language Model for Graph-less Deployment in Twitter Bot Detection,Yes.,1.,"""we find that after finetuning on Twitter bot detection, pretrained language models achieve competitive performance and do not require a graph structure during deployment.""",2023-06-30T05:50:26Z
SummQA at MEDIQA-Chat 2023:In-Context Learning with GPT-4 for Medical Summarization,Yes.,2.,"""Our results highlight the effectiveness of few-shot prompting for this task, though we also identify several weaknesses of prompting-based approaches.""",2023-06-30T03:14:04Z
Modeling Parallel Programs using Large Language Models,Yes.,1.,"""In this paper, we show how large language models (LLMs) can be applied to tasks specific to high performance and scientific codes.""",2023-06-29T19:44:55Z
DisasterResponseGPT: Large Language Models for Accelerated Plan of Action Development in Disaster Response Scenarios,Yes.,1.,"""Large Language Models (LLMs) offer a powerful solution to expedite this process through in-context learning.""",2023-06-29T19:24:19Z
Could Small Language Models Serve as Recommenders? Towards Data-centric Cold-start Recommendations,Yes.,3.,"""this naive approach heavily relies on the strong in-context learning ability emerged from large language models, which could suffer from significant latency for online recommendations.""",2023-06-29T18:50:12Z
"Generative AI for Programming Education: Benchmarking ChatGPT, GPT-4, and Human Tutors",Yes.,3.,"""These results also highlight settings where GPT-4 still struggles, providing exciting future directions on developing techniques to improve the performance of these models.""",2023-06-29T17:57:40Z
Concept-Oriented Deep Learning with Large Language Models,Yes.,3.,"""Text-only LLMs, however, can represent only symbolic (conceptual) knowledge.""",2023-06-29T16:47:11Z
UMASS_BioNLP at MEDIQA-Chat 2023: Can LLMs generate high-quality synthetic note-oriented doctor-patient conversations?,Yes.,1.,"""We focus especially on Task-C and propose a novel LLMs cooperation system named a doctor-patient loop to generate high-quality conversation data sets.""",2023-06-29T13:30:41Z
From Query Tools to Causal Architects: Harnessing Large Language Models for Advanced Causal Discovery from Data,Yes.,3.,"""We demonstrate the significant enhancement of LLM expertise on the quality of recovered causal structures from data, while also identifying critical challenges and issues, along with potential approaches to address them.""",2023-06-29T12:48:00Z
Benchmarking Large Language Model Capabilities for Conditional Generation,Yes.,3.,"""Despite their ubiquitous use, the generation quality of language models is rarely evaluated when these models are introduced."" and ""provide an in-depth, empirical study of the limitations and capabilities of PLMs in natural language generation tasks along dimensions such as scale, architecture, input and output language.""",2023-06-29T08:59:40Z
Evaluating ChatGPT's Decimal Skills and Feedback Generation in a Digital Learning Game,Yes.,4.,"""Our results showed that ChatGPT can respond well to conceptual questions, but struggled with decimal place values and number line problems."" and ""We conclude with a discussion of ChatGPT's strengths and weaknesses and suggest several venues for extending its use cases in digital teaching and learning.""",2023-06-29T02:28:09Z
A negation detection assessment of GPTs: analysis with the xNot360 dataset,Yes.,5.,"""Our findings expose a considerable performance disparity among the GPT models, with GPT-4 surpassing its counterparts and GPT-3.5 displaying a marked performance reduction. The overall proficiency of the GPT models in negation detection remains relatively modest, indicating that this task pushes the boundaries of their natural language understanding capabilities. We not only highlight the constraints of GPT models in handling negation but also",2023-06-29T02:27:48Z
CMATH: Can Your Language Model Pass Chinese Elementary School Math Test?,Yes.,3.,"""We anticipate that our study will expose limitations in LLMs' arithmetic and reasoning capabilities, and promote their ongoing development and advancement.""",2023-06-29T02:19:50Z
Automatic Calibration and Error Correction for Generative Large Language Models via Pareto Optimal Self-Supervision,Yes.,5.,"""Generative Large language models (LLMs) have demonstrated remarkable capabilities for a wide range of applications, but reducing ungrounded or erroneous responses remains a major growth area."" and ""there lack an effective method to calibrate the confidence level of LLM responses to indicate potential errors and facilitate human-in-the-loop verification.""",2023-06-28T21:11:15Z
Palm: Predicting Actions through Language Models @ Ego4D Long-Term Action Anticipation Challenge 2023,Yes.,1.,"""Large language models have demonstrated remarkable commonsense-based reasoning ability.""",2023-06-28T20:33:52Z
Towards Language Models That Can See: Computer Vision Through the LENS of Natural Language,Yes.,1.,"""We propose LENS, a modular approach for tackling computer vision problems by leveraging the power of large language models (LLMs).""",2023-06-28T17:57:10Z
On the Exploitability of Instruction Tuning,Yes.,3.,"""We hope our work sheds light on how data quality affects the behavior of instruction-tuned models and raises awareness of the importance of data quality for responsible deployments of LLMs.""",2023-06-28T17:54:04Z
Towards Measuring the Representation of Subjective Global Opinions in Language Models,Yes.,4.,"""By default, LLM responses tend to be more similar to the opinions of certain populations, such as those from the USA, and some European and South American countries, highlighting the potential for biases."" and ""When we translate GlobalOpinionQA questions to a target language, the model's responses do not necessarily",2023-06-28T17:31:53Z
Leveraging GPT-4 for Food Effect Summarization to Enhance Product-Specific Guidance Development via Iterative Prompting,Yes.,2.,"""its ability regarding the accuracy in summarizing food effect for PSG assessment remains unclear.""",2023-06-28T14:55:13Z
CBBQ: A Chinese Bias Benchmark Dataset Curated with Human-AI Collaboration for Large Language Models,Yes.,4.,"""Extensive experiments demonstrate the effectiveness of the dataset in detecting model bias, with all 10 publicly available Chinese large language models exhibiting strong bias in certain categories.""",2023-06-28T14:14:44Z
Prompting Large Language Models for Zero-Shot Domain Adaptation in Speech Recognition,Yes.,3.,"""However, these approaches usually require a significant amount of target domain text data for the training of LMs.""",2023-06-28T08:29:00Z
Query Understanding in the Age of Large Language Models,Yes.,1.,"""Querying, conversing, and controlling search and information-seeking interfaces using natural language are fast becoming ubiquitous with the rise and adoption of large-language models (LLM).""",2023-06-28T08:24:14Z
Large Language Model as Attributed Training Data Generator: A Tale of Diversity and Bias,Yes.,3.,"""they generally rely on simple class-conditional prompts, which may limit the diversity of the generated data and inherit systematic biases of LLM.""",2023-06-28T03:31:31Z
"Beyond the Hype: Assessing the Performance, Trustworthiness, and Clinical Suitability of GPT3.5",,,,2023-06-28T03:03:51Z
HyenaDNA: Long-Range Genomic Sequence Modeling at Single Nucleotide Resolution,Yes.,3.,"""Due to the quadratic scaling of attention, previous Transformer-based genomic models have used 512 to 4k tokens as context (<0.001% of the human genome), significantly limiting the modeling of long-range interactions in DNA.""",2023-06-27T20:46:34Z
