Title,Talks about LLMs,Rate,Evidence,Published
"Evaluating ChatGPT's Information Extraction Capabilities: An Assessment of Performance, Explainability, Calibration, and Faithfulness",Yes.,3.,"""Our findings reveal that ChatGPT's performance in Standard-IE setting is poor,"" and ""there is an issue of ChatGPT being overconfident in its predictions, which resulting in low calibration.""",2023-04-23T12:33:18Z
Differentiate ChatGPT-generated and Human-written Medical Texts,Yes.,4.,"""erroneous medical content generated by ChatGPT could potentially lead to disinformation that poses significant harm to healthcare and the general public.""",2023-04-23T07:38:07Z
Divide and Prompt: Chain of Thought Prompting for Text-to-SQL,Yes.,1.,"""Chain-of-thought (CoT) prompting combined with large language models (LLMs) have achieved encouraging results on complex reasoning tasks.""",2023-04-23T06:52:35Z
Boosting Theory-of-Mind Performance in Large Language Models via Prompting,Yes.,3.,"""Large language models (LLMs) excel in many tasks in 2023, but they still face challenges in complex reasoning.""",2023-04-22T22:50:50Z
LLM+P: Empowering Large Language Models with Optimal Planning Proficiency,Yes.,5.,"""However, so far, LLMs cannot reliably solve long-horizon planning problems.""",2023-04-22T20:34:03Z
N2G: A Scalable Approach for Quantifying Interpretable Neuron Representations in Large Language Models,Yes.,1.,"""N2G represents a step towards scalable interpretability methods by allowing us to convert neurons in an LLM to interpretable representations of measurable quality.""",2023-04-22T19:06:13Z
Transformer-Based Language Model Surprisal Predicts Human Reading Times Best with About Two Billion Training Tokens,Yes.,5.,"""These results suggest that the massive amount of training data is mainly responsible for the poorer fit achieved by surprisal from larger pre-trained language models, and that a certain degree of model capacity is necessary for Transformer-based language models to capture humanlike expectations.""",2023-04-22T12:50:49Z
SAILER: Structure-aware Pre-trained Language Model for Legal Case Retrieval,Yes.,3.,"""most existing language models have difficulty understanding the long-distance dependencies between different structures"" and ""existing pre-trained language models designed for general purposes have not been equipped to handle legal elements.""",2023-04-22T10:47:01Z
Who's the Best Detective? LLMs vs. MLs in Detecting Incoherent Fourth Grade Math Answers,Yes.,5.,"""We found that LLMs perform worse than MLs in detecting incoherent answers. The difficulty seems to reside in recursive questions that contain both questions and answers, and in responses from students with typical fourth-grader misspellings.""",2023-04-21T21:25:30Z
Emergent and Predictable Memorization in Large Language Models,Yes.,5.,"""Memorization, or the tendency of large language models (LLMs) to output entire sequences from their training data verbatim, is a key concern for safely deploying language models.""",2023-04-21T17:58:31Z
