Title,Talks about LLMs,Rate,Evidence,Published
Multi-hop Question Answering under Temporal Knowledge Editing,Yes.,3.,"""existing models for MQA under KE exhibit poor performance when dealing with questions containing explicit temporal contexts.""",2024-03-30T23:22:51Z
PROMPT-SAW: Leveraging Relation-Aware Graphs for Textual Prompt Compression,Yes.,2.,"""While prompting is a crucial tool for LLM inference, we observe that there is a significant cost associated with exceedingly lengthy prompts.""",2024-03-30T23:07:58Z
Contextual AI Journaling: Integrating LLM and Time Series Behavioral Sensing Technology to Promote Self-Reflection and Well-being using the MindScape App,Yes.,1.,"""MindScape aims to study the benefits of integrating time series behavioral patterns (e.g., conversational engagement, sleep, location) with Large Language Models (LLMs) to create a new form of contextual AI journaling, promoting self-reflection and well-being.""",2024-03-30T23:01:34Z
Dialectical Alignment: Resolving the Tension of 3H and Security Threats of LLMs,Yes.,5.,"""they often lead LLMs to highly receptive human input and external evidence, even when this information is poisoned. This leads to a tendency for LLMs to be Adaptive Chameleons when external evidence conflicts with their parametric memory. This exacerbates the risk of LLM being attacked by external poisoned data, which poses a significant security risk to LLM system applications.""",2024-03-30T22:41:05Z
Edinburgh Clinical NLP at SemEval-2024 Task 2: Fine-tune your model unless you have access to GPT-4,Yes.,2.,"""However, our novel methods did not produce more accurate results than GPT-4 in terms of faithfulness and consistency.""",2024-03-30T22:27:21Z
Linguistic Calibration of Language Models,Yes.,5.,"""Language models (LMs) may lead their users to make suboptimal downstream decisions when they confidently hallucinate.""",2024-03-30T20:47:55Z
NumeroLogic: Number Encoding for Enhanced LLMs' Numerical Reasoning,Yes.,5.,"""Language models struggle with handling numerical data and performing arithmetic operations. We hypothesize that this limitation can be partially attributed to non-intuitive textual numbers representation.""",2024-03-30T19:46:59Z
MetaIE: Distilling a Meta Model from LLM for All Kinds of Information Extraction Tasks,Yes.,3.,"""prompting large language models (LLMs), even with in-context examples, cannot defeat small LMs tuned on very small IE datasets.""",2024-03-30T19:43:45Z
Do Vision-Language Models Understand Compound Nouns?,Yes.,3.,"""Next, we perform an in-depth analysis to highlight CLIPs' limited understanding of certain types of CNs.""",2024-03-30T16:54:45Z
CoDa: Constrained Generation based Data Augmentation for Low-Resource NLP,Yes.,1.,"""Our approach is based on prompting off-the-shelf instruction-following Large Language Models (LLMs) for generating text that satisfies a set of constraints.""",2024-03-30T16:47:06Z
Aurora-M: The First Open Source Multilingual Language Model Red-teamed according to the U.S. Executive Order,Yes.,4.,"""However, such existing models face challenges",2024-03-30T15:38:54Z
Small Language Models Learn Enhanced Reasoning Skills from Medical Textbooks,Yes.,3.,"""While recent advancements in commercial large language models (LM) have shown promising results in medical tasks, their closed-source nature poses significant privacy and security concerns, hindering their widespread use in the medical field."" and ""Despite efforts to create open-source models, their limited parameters often result in insufficient multi-step reasoning capabilities required for solving complex medical problems.""",2024-03-30T14:09:00Z
Controllable and Diverse Data Augmentation with Large Language Model for Low-Resource Open-Domain Dialogue Generation,Yes.,3.,"""Recently, large language models (LLM) have been used for DA to generate diversified dialogues. However, they have limited controllability and tend to generate dialogues with a distribution shift compared to the seed dialogues.""",2024-03-30T13:28:51Z
Can LLMs Master Math? Investigating Large Language Models on Math Stack Exchange,Yes.,5.,"""Our Case analysis indicates that while the GPT-4 can generate relevant responses in certain instances, it does not consistently answer all questions accurately. This paper explores the current limitations of LLMs in navigating complex mathematical problem-solving.""",2024-03-30T12:48:31Z
Augmenting NER Datasets with LLMs: Towards Automated and Refined Annotation,Yes.,2.,"""addresses the issue of class imbalance encountered in LLM-based annotations.""",2024-03-30T12:13:57Z
Exploring Unseen Environments with Robots using Large Language and Vision Models through a Procedurally Generated 3D Scene Representation,Yes.,3.,"""A challenging task in using LLMs to generate high level sub-goals is to efficiently represent the environment around the robot."" and ""But providing the LLM with a mass of contextual information (rich 3D scene semantic representation), can lead to redundant and inefficient plans.""",2024-03-30T10:54:59Z
ST-LLM: Large Language Models Are Effective Temporal Learners,Yes.,2.,"""to address the overhead and stability issues introduced by uncompressed video tokens within LLMs.""",2024-03-30T10:11:26Z
"A Comprehensive Study on NLP Data Augmentation for Hate Speech Detection: Legacy Methods, BERT, and LLMs",,,,2024-03-30T09:55:58Z
Instruction-Driven Game Engines on Large Language Models,Yes.,1.,"""The Instruction-Driven Game Engine (IDGE) project aims to democratize game development by enabling a large language model (LLM) to follow free-form game rules and autonomously generate game-play processes.""",2024-03-30T08:02:16Z
Secret Keepers: The Impact of LLMs on Linguistic Markers of Personal Traits,Yes.,3.,"""We also note that some theoretically established lexical-based linguistic markers lose their reliability as predictors when LLMs are used in the writing process.""",2024-03-30T06:49:17Z
DeFT: Flash Tree-attention with IO-Awareness for Efficient Tree-search-based LLM Inference,Yes.,3.,"""current tree decoding strategies and their inference systems do not suit each other well due to redundancy in computation, memory footprints, and memory access, resulting in inefficient inference.""",2024-03-30T04:34:54Z
A Survey of using Large Language Models for Generating Infrastructure as Code,Yes.,2.,"""Finally, we conclude by presenting the challenges in this area and highlighting the scope for future research.""",2024-03-30T02:57:55Z
Is Factuality Decoding a Free Lunch for LLMs? Evaluation on Knowledge Editing Benchmark,Yes.,5.,"""All these decoding methods significantly diminish the performance of llama2 models compared to their original decoding, with the largest decrease being a staggering 81.3%."" and ""This further indicates that the current existing decoding methods still cannot perfectly address the factual hallucinations, as they overlook the importance of preserving the flexibility for knowledge editing.""",2024-03-30T02:08:28Z
Injecting New Knowledge into Large Language Models via Supervised Fine-Tuning,Yes.,4.,"""adapting these models to incorporate new, out-of-domain knowledge remains a challenge, particularly for facts and events that occur after the model's knowledge cutoff date.""",2024-03-30T01:56:07Z
Multi-Conditional Ranking with Large Language Models,Yes.,3.,"""Our analysis of LLMs using MCRank indicates a significant decrease in performance as the number and complexity of items and conditions grow.""",2024-03-30T01:26:05Z
EventGround: Narrative Reasoning by Grounding to Eventuality-centric Knowledge Graphs,Yes.,3.,"""Some focus on implicitly modeling eventuality knowledge by pretraining language models (LMs) with eventuality-aware objectives. However, this approach breaks down knowledge structures and lacks interpretability.""",2024-03-30T01:16:37Z
Conceptual and Unbiased Reasoning in Language Models,Yes.,5.,"""limited study has been done on large language models' capability to perform conceptual reasoning"" and ""existing large language models fall short on conceptual reasoning, dropping 9% to 28% on various benchmarks compared to direct inference methods.""",2024-03-30T00:53:53Z
GPTA: Generative Prompt Tuning Assistant for Synergistic Downstream Neural Network Enhancement with LLMs,Yes.,2.,"""By minimizing data exposure to LLM, the framework addresses the security and legal challenges of applying LLM in downstream task model training.""",2024-03-29T23:04:04Z
"Wait, It's All Token Noise? Always Has Been: Interpreting LLM Behavior Using Shapley Value",Yes.,5.,"""the validity of utilizing LLMs as stand-ins for human subjects remains uncertain due to glaring divergences that suggest fundamentally different underlying processes at play and the sensitivity of LLM responses to prompt variations."" and ""This phenomenon raises concerns about the robustness and generalizability of insights obtained from LLMs in the context of human behavior simulation."" and ""underscore the need for a more nuanced",2024-03-29T22:49:43Z
